word,cluster_label,cluster_size
คู่ต่อสู้,2,198
เจ้าหญิง,1,223
เชษฐา,1,223
อินทราภิเษก,3,214
จับนาง,3,214
ขุนช้าง,3,214
คุณูปการ,0,265
รื่นเริง,1,223
ติดมือ,0,265
ตัวตน,3,214
หลักฐาน,3,214
ขนบธรรมเนียมประเพณี,0,265
ศรนาคบาศ,3,214
รู้คุณค่า,3,214
อุบาย,3,214
มรดกภูมิปัญญาทางวัฒนธรรม,2,198
ตารีบุหงา,3,214
นิมิต,3,214
ปรศุราม,3,214
เครื่องแบบ,0,265
เครื่องมือ,0,265
ตามคำสั่ง,1,223
เพลงกลม,1,223
สีทอง,2,198
ร้อนแรง,1,223
ปราชัย,1,223
อาณาจักร,2,198
นครพนม,3,214
พิธีกรรม,3,214
แต่งตัว,1,223
หญิงสาว,1,223
หลักปฏิบัติ,2,198
ศิลปะป้องกันตัว,1,223
นักษัตร,0,265
ชุมนุม,2,198
วิรุณจำบัง,2,198
ความว่องไว,0,265
สี่ภาค,0,265
พระพุทธรูป,0,265
สุรินทร์,2,198
อิริยาบถ,2,198
ความไพเราะ,3,214
ภูเขา,0,265
เข้าเฝ้า,3,214
บริเวณ,0,265
วาดภาพ,3,214
เพลงรำซิมารำ,0,265
เชื้อชาติ,0,265
สร้างสรรค์,1,223
ฝั่งน้ำ,0,265
ความเคารพ,3,214
มือเปล่า,2,198
โบราณวัตถุ,1,223
นางเอก,1,223
การละเล่น,0,265
บุคคล,3,214
มโนราห์,1,223
แกล้งทำ,1,223
องค์ปะตาระกาหลา,0,265
โลดโผน,3,214
การแสดง,0,265
สมัยศรีวิชัย,0,265
ความบันเทิง,3,214
สัตว์น้ำ,3,214
ทางการ,1,223
ศิลปหัตถกรรม,1,223
ทางวัฒนธรรม,1,223
ความประทับใจ,1,223
สายสืบ,2,198
ดนตรีพื้นบ้าน,3,214
เพลงงามแสงเดือน,3,214
ขับไล่,2,198
ของที่ระลึก,3,214
สนุกสนาน,3,214
พระราชพิธี,0,265
ชาวเขา,0,265
จีนรำพัด,0,265
สวามี,3,214
รูปแบบ,0,265
ไทยจิตรลดา,1,223
เถิดเทิง,2,198
ระดับชาติ,0,265
อนุชา,1,223
ตัวต่อตัว,0,265
อาชีพ,2,198
อิเหนา,2,198
แต่งกายยืนเครื่องพระ,1,223
พลับพลา,0,265
ผีภู,3,214
แห่งชาติ,2,198
สุครีพ,1,223
หลงใหล,3,214
วาจา,1,223
ความมีน้ำใจ,3,214
ขับลำ,0,265
ไหว้ครู,0,265
พระเจ้าบรมวงศ์เธอกรมพระนราธิปประพันธ์พงศ์,0,265
สมัยลพบุรี,0,265
เกียรติยศ,3,214
แผ่อิทธิพล,2,198
ความสำคัญ,1,223
การศึก,0,265
สาวงาม,3,214
ศิลปวัฒนธรรม,0,265
ต้นรัง,0,265
สำเภา,3,214
กลองยาว,0,265
อาภรณ์,1,223
นายขวัญ,0,265
ไส้กะลา,0,265
ได้ยิน,1,223
มารดา,0,265
มูลเหตุ,1,223
มรกต,3,214
เริงใจ,2,198
พระบาทสมเด็จพระจอมเกล้าเจ้าอยู่หัว,0,265
ที่มา,0,265
สิ่งศักดิ์สิทธิ์,0,265
กสิกรรม,0,265
ละครชาตรี,0,265
พระอุโบสถ,3,214
ชีวิต,1,223
มีแบบแผน,3,214
หล่อสำริด,2,198
เจ้าที่เจ้าทาง,0,265
แนวความคิด,2,198
ราชสำนัก,1,223
นนทก,1,223
มังกรกัณฐ์,1,223
เพลงสำเนียงลาว,1,223
ยั่วเย้า,2,198
รูปร่าง,1,223
ฮินดู,1,223
ฟ้อนรำ,0,265
วรรณคดี,3,214
ของป่า,3,214
พราหมณ์,3,214
ผู้หญิง,1,223
ระบำ,0,265
จังหวัด,3,214
วิดน้ำ,1,223
รับอาสา,1,223
เจ้าเมือง,3,214
อสูร,2,198
เพทาย,3,214
เครื่องดนตรีตะวันตก,0,265
ขึ้นทะเบียน,0,265
นิสัย,0,265
สังข์ทอง,0,265
รุ่นหลัง,2,198
เทพบุตร,0,265
มโนห์รา,1,223
การบรรเลง,3,214
เพลงสากล,3,214
เข้าพบ,1,223
สังสรรค์,2,198
บุหรงซีงอ,2,198
มีวัฒนธรรม,1,223
แผ่นดิน,2,198
สุทธาวาส,1,223
อาหาร,0,265
ทิศตะวันตก,0,265
ปางลีลา,1,223
เขาอังกาศ,1,223
อเนก,3,214
กระบวนท่า,1,223
พระยา,0,265
กรุงเทพมหานคร,0,265
ไทยรามัญ,0,265
เมืองหลวง,3,214
ชาวพื้นเมือง,2,198
จิตรกรรม,1,223
สิริมงคล,3,214
นครราชสีมา,1,223
ชายแดน,2,198
แหลมมลายู,1,223
พระพี่เลี้ยง,0,265
ดวงแก้ว,0,265
กราววีรชัยลิง,3,214
อ่อนช้อย,0,265
สะล้อ,2,198
สกลนคร,2,198
สำนึก,1,223
กลองสะบัดชัย,2,198
มุสลิม,3,214
ชั้นเดียว,2,198
ศักดิ์สิทธิ์,0,265
การแสดงพื้นเมือง,0,265
ชาวบ้าน,3,214
พระศิวะ,2,198
กรุงลงกา,2,198
ต่อสู้,2,198
ทับหลัง,0,265
ระบำโบราณคดี,0,265
เกียรติศักดิ์ไทย,3,214
โรงละครแห่งชาติ,2,198
การเดินทาง,2,198
ทศกัณฐ์,0,265
มีอายุ,0,265
ลงกา,1,223
ก้อนหิน,1,223
โบราณสถาน,3,214
เพลงดวงจันทร์ขวัญฟ้า,2,198
หอกโมกขศักดิ์,2,198
สวยงาม,2,198
รูปทอง,0,265
ผู้เชี่ยวชาญ,2,198
พระจันทร์,0,265
นางสีดา,0,265
ภาษา,0,265
ผ้าไหม,3,214
พระลาน,0,265
ประดุจ,2,198
อัญมณี,2,198
ความเข้มแข็ง,1,223
ข้าศึก,0,265
ชั้นเชิง,3,214
เสียงดนตรี,1,223
มนุษยชาติ,1,223
กิริยา,1,223
เจ้าดารารัศมี,0,265
ภูมิปัญญา,3,214
แนวคิด,1,223
พระราชวังบวรสถานมงคล,0,265
ลีลา,3,214
สายน้ำ,1,223
กระทุ้ง,2,198
ซุกซน,2,198
จัดแสดง,3,214
ความสัมพันธ์,1,223
ปารวตี,2,198
ต้นแบบ,1,223
สมมุติเทพ,0,265
ทำพิธี,3,214
เนื้อเรื่อง,0,265
อุณรุท,1,223
พี่เลี้ยง,0,265
ละคร,3,214
บุรุษ,2,198
หางนกยูง,0,265
ค้าขาย,3,214
ความร่มเย็น,3,214
วัฒนธรรม,0,265
ผู้แสดง,3,214
เสนียดจัญไร,2,198
กิริยาอาการ,2,198
ช่อดอกไม้,3,214
ชาติพันธุ์,1,223
บัญชา,2,198
การแต่งกาย,1,223
การแปร,1,223
ความหลากหลาย,0,265
การดำเนินชีวิต,2,198
ชั้นใน,3,214
พระคุณ,1,223
รับใช้,3,214
พระบรมราชชนนีพับปีหลวง,0,265
ร่มพระบารมี,0,265
โคมเวียน,1,223
การร้อง,1,223
นายแก้ว,0,265
แปลงตัว,0,265
พระตำหนัก,0,265
พระลอ,0,265
พระนารายณ์,0,265
ตัวละคร,1,223
เพลงหญิงไทยใจงาม,1,223
ศูรปนขา,3,214
กระบวน,1,223
เครื่องประดับ,0,265
ทิพยวิมาน,0,265
พาหนะ,1,223
การทำขวัญ,1,223
ขบวนแห่,2,198
เขาไกรลาส,3,214
จำแลง,0,265
หยอกล้อ,2,198
ผู้ประดิษฐ์,1,223
ร่างกาย,0,265
อุปสรรค,1,223
ลาวครั่ง,0,265
ยักษิณี,0,265
จนตาย,0,265
เบิกโรง,3,214
การประกอบอาชีพ,2,198
ประเทศ,1,223
ผู้ชม,1,223
การร่อนแร่,3,214
แตกทัพ,0,265
นาฏศิลป์พื้นบ้าน,1,223
อาวุธ,1,223
ความงาม,1,223
ประกอบอาชีพ,3,214
ผู้แสดงฝ่ายชาย,3,214
ร่มเย็น,2,198
พระบาทสมเด็จพระจุลจอมเกล้าเจ้าอยู่หัว,0,265
เชิงบันได,0,265
สะเดาะเคราะห์,3,214
วสันตฤดู,0,265
เมืองขีดขิน,2,198
เบญกาย,0,265
เพลงเร็ว,3,214
พลวานร,1,223
ดำรงตำแหน่ง,0,265
ท้าวสัทธาสูร,0,265
บุปเพสันนิวาส,1,223
พระพาย,0,265
ประชากร,1,223
กะลา,2,198
อินทรชิต,1,223
บรรพต,1,223
ดินดาล,0,265
เครื่องดนตรี,3,214
ทำนองเพลง,3,214
ประทับ,3,214
ขนเพชร,3,214
อันหนึ่งอันเดียว,0,265
ธิเบศร์,3,214
มวยไทย,3,214
ร้ายกาจ,2,198
ความชำนาญ,2,198
จับระบำ,1,223
ไตรรงค์,3,214
พระราม,2,198
คู่ใจ,0,265
การุณราช,0,265
พุทธศตวรรษ,3,214
แสงจันทร์,0,265
ขั้นตอน,0,265
เทือกเขาภูพาน,0,265
แม่ฮ่องสอน,1,223
ความตาย,1,223
ทับทิม,0,265
หมากกั๊บแก๊บ,2,198
ท่าทาง,2,198
วิรุญมุข,1,223
เจ้าเซ็น,0,265
ภาชนะดินเผา,1,223
ภูมิภาค,0,265
สะเดาะ,3,214
โบราณ,0,265
สิบแปดมงกุฎ,0,265
ขอความช่วยเหลือ,3,214
ข้าหลวง,3,214
ไม้สั้น,0,265
ความเพลิดเพลิน,2,198
ไทยจักรี,2,198
ต้นขา,2,198
ปัดเป่า,1,223
การสอน,3,214
สังคีตศิลป์,3,214
แหล่งน้ำ,1,223
กระบวนการ,3,214
ยุติธรรม,1,223
ศุภลักษณ์,1,223
เพลงชำนาญ,2,198
แควน้อย,1,223
พระไวย,2,198
ชาวไทย,0,265
มือซ้าย,0,265
อินเดีย,3,214
ความจงรักภักดี,1,223
มาจาก,1,223
กีฬา,1,223
สากตำข้าว,3,214
พระแพง,0,265
ธงไทย,2,198
กิริยาท่าทาง,2,198
ลักษณะพิเศษ,0,265
พระคเณศ,1,223
นางโรย,3,214
รับสั่ง,1,223
