word,cluster_label
คู่ต่อสู้,2
เชษฐา,1
อินทราภิเษก,3
จับนาง,3
ขุนช้าง,3
ติดมือ,0
ศรนาคบาศ,3
ตารีบุหงา,3
ปรศุราม,3
เพลงกลม,1
นครพนม,3
หญิงสาว,1
ศิลปะป้องกันตัว,1
นักษัตร,0
วิรุณจำบัง,2
สี่ภาค,0
พระพุทธรูป,0
สุรินทร์,2
วาดภาพ,3
เพลงรำซิมารำ,0
โบราณวัตถุ,1
มโนราห์,1
สมัยศรีวิชัย,0
ศิลปหัตถกรรม,1
เพลงงามแสงเดือน,3
พระราชพิธี,0
ชาวเขา,0
จีนรำพัด,0
ไทยจิตรลดา,1
เถิดเทิง,2
อิเหนา,2
พลับพลา,0
ผีภู,3
สุครีพ,1
ไหว้ครู,0
พระเจ้าบรมวงศ์เธอกรมพระนราธิปประพันธ์พงศ์,0
สมัยลพบุรี,0
ต้นรัง,0
สำเภา,3
กลองยาว,0
ไส้กะลา,0
มรกต,3
พระบาทสมเด็จพระจอมเกล้าเจ้าอยู่หัว,0
สิ่งศักดิ์สิทธิ์,0
ละครชาตรี,0
หล่อสำริด,2
ราชสำนัก,1
นนทก,1
มังกรกัณฐ์,1
เพลงสำเนียงลาว,1
ฮินดู,1
พราหมณ์,3
ผู้หญิง,1
อสูร,2
เพทาย,3
เครื่องดนตรีตะวันตก,0
สังข์ทอง,0
เทพบุตร,0
มโนห์รา,1
เพลงสากล,3
บุหรงซีงอ,2
กรุงเทพมหานคร,0
ไทยรามัญ,0
จิตรกรรม,1
นครราชสีมา,1
แหลมมลายู,1
กราววีรชัยลิง,3
สะล้อ,2
สกลนคร,2
กลองสะบัดชัย,2
มุสลิม,3
พระศิวะ,2
กรุงลงกา,2
ทับหลัง,0
ระบำโบราณคดี,0
เกียรติศักดิ์ไทย,3
ทศกัณฐ์,0
เพลงดวงจันทร์ขวัญฟ้า,2
หอกโมกขศักดิ์,2
รูปทอง,0
พระจันทร์,0
นางสีดา,0
ผ้าไหม,3
อัญมณี,2
ข้าศึก,0
เจ้าดารารัศมี,0
ปารวตี,2
สมมุติเทพ,0
อุณรุท,1
หางนกยูง,0
ค้าขาย,3
ช่อดอกไม้,3
ชาติพันธุ์,1
พระบรมราชชนนีพับปีหลวง,0
โคมเวียน,1
พระลอ,0
พระนารายณ์,0
เพลงหญิงไทยใจงาม,1
ศูรปนขา,3
ทิพยวิมาน,0
การทำขวัญ,1
เขาไกรลาส,3
ลาวครั่ง,0
ยักษิณี,0
เบิกโรง,3
การร่อนแร่,3
พระบาทสมเด็จพระจุลจอมเกล้าเจ้าอยู่หัว,0
สะเดาะเคราะห์,3
เพลงเร็ว,3
พลวานร,1
ท้าวสัทธาสูร,0
บุปเพสันนิวาส,1
พระพาย,0
กะลา,2
อินทรชิต,1
บรรพต,1
ดินดาล,0
ขนเพชร,3
มวยไทย,3
จับระบำ,1
ไตรรงค์,3
พระราม,2
การุณราช,0
