word,cluster_label,cluster_size
พระพุทธรูป,0,265
การละเล่น,0,265
องค์ปะตาระกาหลา,0,265
สมัยศรีวิชัย,0,265
สัตว์น้ำ,3,214
สายสืบ,2,198
เพลงงามแสงเดือน,3,214
ขับไล่,2,198
ของที่ระลึก,3,214
ชาวเขา,0,265
จีนรำพัด,0,265
สวามี,3,214
ไทยจิตรลดา,1,223
อนุชา,1,223
ตัวต่อตัว,0,265
อาชีพ,2,198
อิเหนา,2,198
แต่งกายยืนเครื่องพระ,1,223
พลับพลา,0,265
ผีภู,3,214
สุครีพ,1,223
หลงใหล,3,214
วาจา,1,223
ขับลำ,0,265
ไหว้ครู,0,265
พระเจ้าบรมวงศ์เธอกรมพระนราธิปประพันธ์พงศ์,0,265
สมัยลพบุรี,0,265
แผ่อิทธิพล,2,198
การศึก,0,265
ต้นรัง,0,265
สำเภา,3,214
กลองยาว,0,265
อาภรณ์,1,223
นายขวัญ,0,265
ไส้กะลา,0,265
ได้ยิน,1,223
มารดา,0,265
มรกต,3,214
พระบาทสมเด็จพระจอมเกล้าเจ้าอยู่หัว,0,265
สิ่งศักดิ์สิทธิ์,0,265
กสิกรรม,0,265
ละครชาตรี,0,265
เจ้าที่เจ้าทาง,0,265
เทพบุตร,0,265
มโนห์รา,1,223
กราววีรชัยลิง,3,214
สกลนคร,2,198
มุสลิม,3,214
ชั้นเดียว,2,198
พระศิวะ,2,198
กรุงลงกา,2,198
ต่อสู้,2,198
ทับหลัง,0,265
เกียรติศักดิ์ไทย,3,214
โรงละครแห่งชาติ,2,198
ทศกัณฐ์,0,265
มีอายุ,0,265
ลงกา,1,223
ก้อนหิน,1,223
เพลงดวงจันทร์ขวัญฟ้า,2,198
หอกโมกขศักดิ์,2,198
รูปทอง,0,265
พระจันทร์,0,265
นางสีดา,0,265
ช่อดอกไม้,3,214
บัญชา,2,198
พระบรมราชชนนีพับปีหลวง,0,265
โคมเวียน,1,223
นายแก้ว,0,265
แปลงตัว,0,265
พระตำหนัก,0,265
พระลอ,0,265
พระนารายณ์,0,265
เพลงหญิงไทยใจงาม,1,223
ศูรปนขา,3,214
ทิพยวิมาน,0,265
พาหนะ,1,223
