word,cluster_label,cluster_size
คู่ต่อสู้,2,198
อินทราภิเษก,3,214
ขุนช้าง,3,214
ศรนาคบาศ,3,214
เพลงกลม,1,223
สีทอง,2,198
หญิงสาว,1,223
หลักปฏิบัติ,2,198
สี่ภาค,0,265
พระพุทธรูป,0,265
สุรินทร์,2,198
อิริยาบถ,2,198
เชื้อชาติ,0,265
ฝั่งน้ำ,0,265
โบราณวัตถุ,1,223
นางเอก,1,223
มโนราห์,1,223
องค์ปะตาระกาหลา,0,265
โลดโผน,3,214
สมัยศรีวิชัย,0,265
สวามี,3,214
อนุชา,1,223
พลับพลา,0,265
สุครีพ,1,223
หลงใหล,3,214
ไหว้ครู,0,265
พระเจ้าบรมวงศ์เธอกรมพระนราธิปประพันธ์พงศ์,0,265
สมัยลพบุรี,0,265
ต้นรัง,0,265
กลองยาว,0,265
นายขวัญ,0,265
ไส้กะลา,0,265
มารดา,0,265
พระบาทสมเด็จพระจอมเกล้าเจ้าอยู่หัว,0,265
สิ่งศักดิ์สิทธิ์,0,265
กสิกรรม,0,265
ละครชาตรี,0,265
นนทก,1,223
มังกรกัณฐ์,1,223
ฮินดู,1,223
วิดน้ำ,1,223
รับอาสา,1,223
เจ้าเมือง,3,214
เพทาย,3,214
ขึ้นทะเบียน,0,265
สังข์ทอง,0,265
รุ่นหลัง,2,198
เขาอังกาศ,1,223
อเนก,3,214
ชายแดน,2,198
สกลนคร,2,198
พระศิวะ,2,198
กรุงลงกา,2,198
ต่อสู้,2,198
ทับหลัง,0,265
ระบำโบราณคดี,0,265
ทศกัณฐ์,0,265
ผู้เชี่ยวชาญ,2,198
พระจันทร์,0,265
นางสีดา,0,265
อัญมณี,2,198
พระราชวังบวรสถานมงคล,0,265
สายน้ำ,1,223
กระทุ้ง,2,198
ซุกซน,2,198
ปารวตี,2,198
ทำพิธี,3,214
อุณรุท,1,223
ทิพยวิมาน,0,265
พาหนะ,1,223
การทำขวัญ,1,223
เขาไกรลาส,3,214
จำแลง,0,265
หยอกล้อ,2,198
ผู้ประดิษฐ์,1,223
อุปสรรค,1,223
ลาวครั่ง,0,265
ยักษิณี,0,265
ผู้ชม,1,223
แตกทัพ,0,265
อาวุธ,1,223
พระบาทสมเด็จพระจุลจอมเกล้าเจ้าอยู่หัว,0,265
เชิงบันได,0,265
สะเดาะเคราะห์,3,214
วสันตฤดู,0,265
เมืองขีดขิน,2,198
กะลา,2,198
มวยไทย,3,214
ไตรรงค์,3,214
พุทธศตวรรษ,3,214
เทือกเขาภูพาน,0,265
สิบแปดมงกุฎ,0,265
การสอน,3,214
แควน้อย,1,223
พระไวย,2,198
มือซ้าย,0,265
อุษา,1,223
นำเสนอ,3,214
สมัยทวารวดี,0,265
ริมแม่น้ำ,1,223
ออกเดินทาง,2,198
มเหสี,2,198
ตารีกีปัส,2,198
ครั้งสุดท้าย,2,198
คล่องแคล่ว,2,198
สมทบ,1,223
บอกทาง,0,265
จารีตประเพณี,1,223
ผลงาน,3,214
ช้างเอราวัณ,2,198
กราบทูล,2,198
สมรภูมิ,3,214
หมดแรง,1,223
ตำนาน,1,223
เมืองชมพู,0,265
หล่อเลี้ยง,3,214
เทวดา,0,265
ปราสาทพนมรุ้ง,2,198
อิทธิฤทธิ์,0,265
มรดก,0,265
เครื่องประกอบจังหวะ,0,265
พระพรหม,0,265
คำบอกเล่า,3,214
ทอผ้า,3,214
พระสวามี,2,198
กลยุทธ,2,198
ไพฑูรย์,2,198
ลอยน้ำ,3,214
กรุงเทพ,0,265
กรรมวิธี,2,198
นางกินรี,1,223
กลุ่มชาติพันธุ์,1,223
กตเวที,1,223
ธรรมชาติ,2,198
ลิลิตพระลอ,1,223
การดีด,1,223
ขอขมา,3,214
ภาคตะวันออกเฉียงเหนือ,0,265
มลายู,3,214
แม่บท,1,223
นางใน,1,223
ขันดอก,0,265
กรุงรัตนโกสินทร์,0,265
ตามเพลง,3,214
กาฬสินธุ์,2,198
น้องสาว,2,198
ปูนปั้น,1,223
สัทธาสูร,0,265
หลักราชการ,0,265
ให้การ,3,214
ตำรา,0,265
สมบัติ,1,223
ไทยเรือนต้น,0,265
ศรพาลจันทร์,2,198
แสงอาทิตย์,0,265
กลายร่าง,0,265
บรรพบุรุษ,3,214
ดอกไม้,1,223
สงคราม,0,265
พระราชบัญชา,0,265
เพลงคืนเดือนหงาย,3,214
แปลงกาย,0,265
เทพนิยาย,0,265
โอรส,2,198
มารีศ,1,223
ผู้ครองนคร,0,265
ไพร่พล,1,223
ปิดหน้า,0,265
ลูกไม้,0,265
กิจวัตร,2,198
บรรดา,0,265
ศิลปินแห่งชาติ,0,265
กากนาสูร,1,223
กวางทอง,0,265
นิลพาหุ,1,223
พระเจ้าชัยวรมัน,2,198
ประทาน,3,214
อากัปกิริยา,2,198
หาทาง,3,214
หายตัว,0,265
เจ้าเงาะ,0,265
กรับพวง,3,214
คนไทย,2,198
พาลี,3,214
ผางประทีป,0,265
กุมภกรรณ,2,198
พญาผานอง,0,265
ชามพูวราช,0,265
ไหล่เขา,0,265
แต่งกาย,0,265
พระลักษมณ์,1,223
ปราสาทพระขรรค์,2,198
งานรื่นเริง,2,198
ชายหนุ่ม,2,198
บทละคร,3,214
พระราชธิดา,2,198
ภาษามลายู,3,214
