word,cluster_label,stopword_type,reason
เครื่องมือ,0,คำที่มีความหมายกว้าง (Umbrella Terms),นามทั่วไปที่ใช้เรียกอุปกรณ์กว้างๆ ไม่ระบุประเภท
คุณูปการ,0,คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms),คำเชิงประเมินค่าแสดงคุณประโยชน์และความสำคัญ
ขนบธรรมเนียมประเพณี,0,คำเฉพาะโดเมนที่พบบ่อยเกินไป (Domain-Specific Overuse),คำพื้นฐานในโดเมนวัฒนธรรมที่พบบ่อยเกินไป
ตามคำสั่ง,1,คำที่มีความหมายกว้าง (Umbrella Terms),วลีแสดงสถานะทั่วไป ใช้ได้ในหลายบริบท
รื่นเริง,1,คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms),แสดงอารมณ์และความรู้สึก
ร้อนแรง,1,คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms),คำคุณศัพท์เชิงประเมินค่าหรือลักษณะนามธรรม
หลักฐาน,3,คำที่มีความหมายกว้าง (Umbrella Terms),นามทั่วไปที่ใช้ในเชิงวิชาการหรือการพิสูจน์
อุบาย,3,คำที่มีความหมายกว้าง (Umbrella Terms),คำทั่วไปแสดงวิธีการหรือเล่ห์เหลี่ยม
ตัวตน,3,คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms),แนวคิดเชิงนามธรรมเกี่ยวกับอัตลักษณ์
รู้คุณค่า,3,คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms),การแสดงทัศนคติหรือการประเมินค่า
นิมิต,3,คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms),แนวคิดเชิงนามธรรมเกี่ยวกับความฝันหรือภาพปรากฏ
พิธีกรรม,3,คำเฉพาะโดเมนที่พบบ่อยเกินไป (Domain-Specific Overuse),คำพื้นฐานในโดเมนศิลปวัฒนธรรมที่พบบ่อยจนไม่ช่วยจำแนก
อาณาจักร,2,คำที่มีความหมายกว้าง (Umbrella Terms),นามทั่วไปแสดงขอบเขตพื้นที่หรือการปกครอง
มรดกภูมิปัญญาทางวัฒนธรรม,2,คำเฉพาะโดเมนที่พบบ่อยเกินไป (Domain-Specific Overuse),คำนิยามหลักในโดเมนที่ครอบคลุมกว้างเกินไป
บริเวณ,0,คำที่มีความหมายกว้าง (Umbrella Terms),นามทั่วไปบอกสถานที่ ไม่ชี้เฉพาะเจาะจง
เชื้อชาติ,0,คำที่มีความหมายกว้าง (Umbrella Terms),คำจัดหมวดหมู่กว้างเกินไป
ความว่องไว,0,คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms),คำนามธรรมแสดงลักษณะเชิงประเมิน
