word,cluster_label,stopword_type,reason
รู้คุณค่า,3,คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms),แสดงแนวคิด/ความคิดเห็น
พิธีกรรม,3,คำเฉพาะโดเมนที่พบบ่อยเกินไป (Domain-Specific Overuse),คำพื้นฐานในโดเมน ทำให้จำแนกต่ำ
สีทอง,2,คำที่มีความหมายกว้าง (Umbrella Terms),ใช้เป็นหมวดหมู่
ร้อนแรง,1,คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms),แสดงความรู้สึก/คุณค่า
มรดกภูมิปัญญาทางวัฒนธรรม,2,คำเฉพาะโดเมนที่พบบ่อยเกินไป (Domain-Specific Overuse),คำพื้นฐานในโดเมน ทำให้จำแนกต่ำ
ตามคำสั่ง,1,คำที่มีความหมายกว้าง (Umbrella Terms),ใช้เป็นหมวดหมู่
รื่นเริง,1,คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms),แสดงความรู้สึก/คุณค่า
การแสดง,0,คำเฉพาะโดเมนที่พบบ่อยเกินไป (Domain-Specific Overuse),คำพื้นฐานในโดเมน ทำให้จำแนกต่ำ
บริเวณ,0,คำที่มีความหมายกว้าง (Umbrella Terms),ใช้เป็นหมวดหมู่ทั่วไป
ความว่องไว,0,คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms),แสดงคุณค่า/ความคิดเห็น
หญิงสาว,1,คำที่มีความหมายกว้าง (Umbrella Terms),คำทั่วไป ไม่เฉพาะเจาะจง
สร้างสรรค์,1,คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms),แสดงคุณค่า/ความคิดเห็น
ศิลปะป้องกันตัว,1,คำเฉพาะโดเมนที่พบบ่อยเกินไป (Domain-Specific Overuse),คำพื้นฐานในโดเมน ทำให้จำแนกต่ำ
นางเอก,1,คำซ้ำซ้อน หรือ คำพ้องความหมาย (Redundant or Synonym),คำทั่วไปในบริบท ไม่เฉพาะเจาะจง
หลักปฏิบัติ,2,คำที่มีความหมายกว้าง (Umbrella Terms),ใช้เป็นหมวดหมู่ทั่วไป
ความเคารพ,3,คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms),แสดงคุณค่า/ความคิดเห็น
ชุมนุม,2,คำเฉพาะโดเมนที่พบบ่อยเกินไป (Domain-Specific Overuse),คำพื้นฐานในโดเมน ทำให้จำแนกต่ำ
สุรินทร์,2,คำเฉพาะโดเมนที่พบบ่อยเกินไป (Domain-Specific Overuse),คำทั่วไปในบริบท ไม่เฉพาะเจาะจง
อิริยาบถ,2,คำซ้ำซ้อน หรือ คำพ้องความหมาย (Redundant or Synonym),คำทั่วไปในบริบท ไม่เฉพาะเจาะจง
ความไพเราะ,3,คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms),แสดงคุณค่า/ความคิดเห็น
การแสดง,0,คำที่มีความหมายกว้าง (Umbrella Terms),คำทั่วไปที่ใช้เป็นหมวดหมู่
สมัยศรีวิชัย,0,คำที่มีความหมายกว้าง (Umbrella Terms),ไม่ชี้เฉพาะเจาะจง
พระราชพิธี,0,คำที่มีความหมายกว้าง (Umbrella Terms),คำทั่วไปที่ใช้เป็นหมวดหมู่
ชาวเขา,0,คำที่มีความหมายกว้าง (Umbrella Terms),ไม่ชี้เฉพาะเจาะจง
ระดับชาติ,0,คำที่มีความหมายกว้าง (Umbrella Terms),ไม่ชี้เฉพาะเจาะจง
รูปแบบ,0,คำที่มีความหมายกว้าง (Umbrella Terms),คำทั่วไปที่ใช้เป็นหมวดหมู่
ความประทับใจ,1,คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms),แสดงความรู้สึก/คุณค่า
ทางการ,1,คำเฉพาะโดเมนที่พบบ่อยเกินไป (Domain-Specific Overuse),คำทั่วไปในโดเมน ทำให้จำแนกต่ำ
ศิลปหัตถกรรม,1,คำเฉพาะโดเมนที่พบบ่อยเกินไป (Domain-Specific Overuse),คำทั่วไปในโดเมน ทำให้จำแนกต่ำ
ทางวัฒนธรรม,1,คำเฉพาะโดเมนที่พบบ่อยเกินไป (Domain-Specific Overuse),คำทั่วไปในโดเมน ทำให้จำแนกต่ำ
ไทยจิตรลดา,1,คำเฉพาะโดเมนที่พบบ่อยเกินไป (Domain-Specific Overuse),คำทั่วไปในโดเมน ทำให้จำแนกต่ำ
สายสืบ,2,คำเฉพาะโดเมนที่พบบ่อยเกินไป (Domain-Specific Overuse),คำทั่วไปในโดเมน ทำให้จำแนกต่ำ
ขับไล่,2,คำเฉพาะโดเมนที่พบบ่อยเกินไป (Domain-Specific Overuse),คำทั่วไปในโดเมน ทำให้จำแนกต่ำ
อาชีพ,2,คำเฉพาะโดเมนที่พบบ่อยเกินไป (Domain-Specific Overuse),คำทั่วไปในโดเมน ทำให้จำแนกต่ำ
อิเหนา,2,คำเฉพาะโดเมนที่พบบ่อยเกินไป (Domain-Specific Overuse),คำทั่วไปในโดเมน ทำให้จำแนกต่ำ
