batch_id,start_idx,end_idx,size,status,attempts,last_error,updated_at
1,0,30,30,success,1,,2026-04-22T07:37:37.322994Z
2,30,60,30,success,1,,2026-04-22T07:37:56.574029Z
3,60,90,30,success,1,,2026-04-22T07:38:12.736387Z
4,90,120,30,success,1,,2026-04-22T07:39:00.627747Z
5,120,150,30,success,1,,2026-04-22T07:40:28.708128Z
6,150,180,30,success,1,,2026-04-22T07:41:49.081911Z
7,180,210,30,success,1,,2026-04-22T07:42:50.655513Z
8,210,240,30,success,1,,2026-04-22T07:44:12.674022Z
9,240,270,30,success,1,,2026-04-22T07:44:32.667681Z
10,270,300,30,success,1,,2026-04-22T07:45:19.051066Z
11,300,330,30,success,1,,2026-04-22T07:46:19.662743Z
12,330,360,30,success,1,,2026-04-22T07:46:36.678655Z
13,360,390,30,success,1,,2026-04-22T07:47:53.596792Z
14,390,420,30,success,1,,2026-04-22T07:48:09.232768Z
15,420,450,30,success,1,,2026-04-22T07:49:10.481854Z
16,450,480,30,success,1,,2026-04-22T07:49:27.136494Z
17,480,510,30,success,1,,2026-04-22T07:50:50.862153Z
18,510,540,30,success,1,,2026-04-22T07:52:16.667552Z
19,540,570,30,success,1,,2026-04-22T07:52:32.586999Z
20,570,600,30,success,1,,2026-04-22T07:52:54.219764Z
21,600,630,30,success,1,,2026-04-22T07:54:45.931787Z
22,630,660,30,success,1,,2026-04-22T07:55:08.603754Z
23,660,690,30,success,1,,2026-04-22T07:56:20.569729Z
24,690,720,30,success,1,,2026-04-22T07:56:42.308231Z
25,720,750,30,success,1,,2026-04-22T07:57:02.052779Z
26,750,780,30,success,1,,2026-04-22T07:57:20.929433Z
27,780,810,30,success,1,,2026-04-22T07:57:38.026563Z
28,810,840,30,success,1,,2026-04-22T07:57:51.280225Z
29,840,870,30,success,1,,2026-04-22T07:59:05.889753Z
30,870,900,30,success,1,,2026-04-22T07:59:20.389263Z
