batch_id,start_idx,end_idx,size,status,attempts,last_error,updated_at
1,0,30,30,success,1,,2026-04-22T07:17:45.045583Z
2,30,60,30,success,1,,2026-04-22T07:17:57.470952Z
3,60,90,30,success,1,,2026-04-22T07:18:09.414607Z
4,90,120,30,success,1,,2026-04-22T07:18:17.710796Z
5,120,150,30,success,1,,2026-04-22T07:18:26.314760Z
6,150,180,30,success,1,,2026-04-22T07:18:35.574053Z
7,180,210,30,success,1,,2026-04-22T07:18:46.800080Z
8,210,240,30,success,1,,2026-04-22T07:19:00.493858Z
9,240,270,30,success,1,,2026-04-22T07:19:09.481294Z
10,270,300,30,success,1,,2026-04-22T07:19:17.075853Z
11,300,330,30,success,1,,2026-04-22T07:19:30.288966Z
12,330,360,30,success,1,,2026-04-22T07:19:40.568570Z
13,360,390,30,success,1,,2026-04-22T07:19:51.211050Z
14,390,420,30,success,1,,2026-04-22T07:20:01.811996Z
15,420,450,30,success,1,,2026-04-22T07:20:11.090545Z
16,450,480,30,success,1,,2026-04-22T07:20:18.328340Z
17,480,510,30,success,1,,2026-04-22T07:20:27.576975Z
18,510,540,30,success,1,,2026-04-22T07:20:36.609026Z
19,540,570,30,success,1,,2026-04-22T07:20:44.559231Z
20,570,600,30,success,1,,2026-04-22T07:20:52.937537Z
21,600,630,30,success,1,,2026-04-22T07:21:04.709234Z
22,630,660,30,success,1,,2026-04-22T07:21:14.788830Z
23,660,690,30,success,1,,2026-04-22T07:21:21.707270Z
24,690,720,30,success,1,,2026-04-22T07:21:31.089466Z
25,720,750,30,success,1,,2026-04-22T07:21:42.233454Z
26,750,780,30,success,1,,2026-04-22T07:21:50.376682Z
27,780,810,30,success,1,,2026-04-22T07:22:00.321586Z
28,810,840,30,success,1,,2026-04-22T07:22:08.990089Z
29,840,870,30,success,1,,2026-04-22T07:22:20.817912Z
30,870,900,30,success,1,,2026-04-22T07:22:28.043804Z
