batch_id,start_idx,end_idx,size,status,attempts,last_error,updated_at
1,0,30,30,success,1,,2026-04-22T07:23:01.920817Z
2,30,60,30,success,1,,2026-04-22T07:23:28.870476Z
3,60,90,30,success,1,,2026-04-22T07:24:02.479975Z
4,90,120,30,success,1,,2026-04-22T07:24:28.762697Z
5,120,150,30,success,1,,2026-04-22T07:24:56.829755Z
6,150,180,30,success,1,,2026-04-22T07:25:24.897635Z
7,180,210,30,success,1,,2026-04-22T07:25:51.403297Z
8,210,240,30,success,1,,2026-04-22T07:26:10.672857Z
9,240,270,30,success,1,,2026-04-22T07:26:35.038583Z
10,270,300,30,success,1,,2026-04-22T07:26:55.075103Z
11,300,330,30,success,1,,2026-04-22T07:27:23.206479Z
12,330,360,30,success,1,,2026-04-22T07:27:48.679137Z
13,360,390,30,success,1,,2026-04-22T07:28:13.892299Z
14,390,420,30,success,1,,2026-04-22T07:28:46.838566Z
15,420,450,30,success,1,,2026-04-22T07:29:05.948549Z
16,450,480,30,success,1,,2026-04-22T07:29:32.847043Z
17,480,510,30,success,1,,2026-04-22T07:30:04.829753Z
18,510,540,30,success,1,,2026-04-22T07:30:35.757639Z
19,540,570,30,success,1,,2026-04-22T07:31:04.939323Z
20,570,600,30,success,1,,2026-04-22T07:31:31.302946Z
21,600,630,30,success,1,,2026-04-22T07:32:03.874202Z
22,630,660,30,success,1,,2026-04-22T07:32:30.119735Z
23,660,690,30,success,1,,2026-04-22T07:32:57.615078Z
24,690,720,30,success,1,,2026-04-22T07:33:18.411630Z
25,720,750,30,success,1,,2026-04-22T07:33:40.760246Z
26,750,780,30,success,1,,2026-04-22T07:34:04.810712Z
27,780,810,30,success,1,,2026-04-22T07:34:36.685632Z
28,810,840,30,success,1,,2026-04-22T07:35:06.856829Z
29,840,870,30,success,1,,2026-04-22T07:35:32.513532Z
30,870,900,30,success,1,,2026-04-22T07:36:00.493775Z
