metric,value
run_id,20260423_131036
master_input.source_file,c:\Users\Pichaya\Downloads\1.2 Hierachical labeling\input\non_stopwords_gemini.csv
master_input.original_rows,584
master_input.filtered_rows,584
master_input.kept_ratio,1.0
master_input.input_strategy,primary_gemini
phase1.clusters_total,4
phase1.candidate_raw_count,54
phase1.candidate_valid_count,53
phase1.invalid_schema_count,1
phase1.avg_candidates_per_cluster_raw,13.5
phase1.avg_candidates_per_cluster_valid,13.25
phase1.invalid_schema_rate,0.018518518518518517
phase2.input_candidate_count,53
phase2.refined_count,23
phase2.reduction_ratio,0.5660377358490566
critic.agreement_rate,0.9583333333333334
critic.strong_agreement_rate,0.9166666666666666
critic.base_agreement_rate,1.0
critic.majority_supported_items,23
critic.additions,0
critic.dropped,0
critic.kept,23
critic.change_ratio,0.0
critic.unique_items_proposed_by_critics,24
critic.per_critic_edit_ratio.gpt,0.08695652173913043
critic.per_critic_edit_ratio.qwen,0.0
critic.per_critic_edit_ratio.deepseek,0.0
critic.targeted_second_pass_used,False
architect.input_count,23
architect.final_count,23
architect.compression_ratio,0.0
taxonomy_structure.total_paths,23
taxonomy_structure.unique_lvl1,6
taxonomy_structure.unique_lvl2_pairs,19
taxonomy_structure.duplicate_exact_path_count,0
taxonomy_structure.duplicate_category_rate,0.0
taxonomy_structure.hierarchy_violation_count,0
taxonomy_structure.hierarchy_violation_rate,0.0
taxonomy_structure.avg_l2_per_l1,3.1666666666666665
taxonomy_structure.singleton_l2_count,15
taxonomy_structure.singleton_l2_rate,0.7894736842105263
taxonomy_structure.depth_consistency_rate,1.0
classification.total_words,584
classification.raw_records_received,584
classification.direct_valid,584
classification.fallback_to_nearest,0
classification.out_of_taxonomy,0
classification.final_kept,584
classification.coverage_rate,1.0
classification.direct_valid_rate,1.0
classification.fallback_rate,0.0
classification.out_of_taxonomy_rate,0.0
classification.final_valid_rate,1.0
classification_by_model.gemini.total_words,584
classification_by_model.gemini.raw_records_received,584
classification_by_model.gemini.direct_valid,584
classification_by_model.gemini.fallback_to_nearest,0
classification_by_model.gemini.out_of_taxonomy,0
classification_by_model.gemini.final_kept,584
classification_by_model.gemini.coverage_rate,1.0
classification_by_model.gemini.direct_valid_rate,1.0
classification_by_model.gemini.fallback_rate,0.0
classification_by_model.gemini.out_of_taxonomy_rate,0.0
classification_by_model.gemini.final_valid_rate,1.0
classification_by_model.gpt.total_words,584
classification_by_model.gpt.raw_records_received,584
classification_by_model.gpt.direct_valid,514
classification_by_model.gpt.fallback_to_nearest,70
classification_by_model.gpt.out_of_taxonomy,0
classification_by_model.gpt.final_kept,584
classification_by_model.gpt.coverage_rate,1.0
classification_by_model.gpt.direct_valid_rate,0.8801369863013698
classification_by_model.gpt.fallback_rate,0.11986301369863013
classification_by_model.gpt.out_of_taxonomy_rate,0.0
classification_by_model.gpt.final_valid_rate,1.0
classification_by_model.qwen.total_words,584
classification_by_model.qwen.raw_records_received,584
classification_by_model.qwen.direct_valid,576
classification_by_model.qwen.fallback_to_nearest,8
classification_by_model.qwen.out_of_taxonomy,0
classification_by_model.qwen.final_kept,584
classification_by_model.qwen.coverage_rate,1.0
classification_by_model.qwen.direct_valid_rate,0.9863013698630136
classification_by_model.qwen.fallback_rate,0.0136986301369863
classification_by_model.qwen.out_of_taxonomy_rate,0.0
classification_by_model.qwen.final_valid_rate,1.0
classification_by_model.deepseek.total_words,584
classification_by_model.deepseek.raw_records_received,584
classification_by_model.deepseek.direct_valid,560
classification_by_model.deepseek.fallback_to_nearest,24
classification_by_model.deepseek.out_of_taxonomy,0
classification_by_model.deepseek.final_kept,584
classification_by_model.deepseek.coverage_rate,1.0
classification_by_model.deepseek.direct_valid_rate,0.958904109589041
classification_by_model.deepseek.fallback_rate,0.0410958904109589
classification_by_model.deepseek.out_of_taxonomy_rate,0.0
classification_by_model.deepseek.final_valid_rate,1.0
classification_multi.total_words,584
classification_multi.perfect_agreement_rate,0.3698630136986301
classification_multi.fleiss_kappa,0.5465683299880192
api.calls,167
api.success,165
api.failures,2
api.failure_types.HTTP_ERROR,2
api.by_phase.phase1.calls,4
api.by_phase.phase1.success,4
api.by_phase.phase1.failures,0
api.by_phase.phase1.avg_latency_sec,9.272937774999946
api.by_phase.phase2.calls,1
api.by_phase.phase2.success,1
api.by_phase.phase2.failures,0
api.by_phase.phase2.avg_latency_sec,17.351282900000115
api.by_phase.critic_review_gpt.calls,1
api.by_phase.critic_review_gpt.success,1
api.by_phase.critic_review_gpt.failures,0
api.by_phase.critic_review_gpt.avg_latency_sec,31.031202300000587
api.by_phase.critic_review_qwen.calls,1
api.by_phase.critic_review_qwen.success,1
api.by_phase.critic_review_qwen.failures,0
api.by_phase.critic_review_qwen.avg_latency_sec,85.20863940000072
api.by_phase.critic_review_deepseek.calls,1
api.by_phase.critic_review_deepseek.success,1
api.by_phase.critic_review_deepseek.failures,0
api.by_phase.critic_review_deepseek.avg_latency_sec,500.6006987999999
api.by_phase.final_cleanup.calls,1
api.by_phase.final_cleanup.success,1
api.by_phase.final_cleanup.failures,0
api.by_phase.final_cleanup.avg_latency_sec,89.56533590000072
api.by_phase.phase3.calls,158
api.by_phase.phase3.success,156
api.by_phase.phase3.failures,2
api.by_phase.phase3.failure_types.HTTP_ERROR,2
api.by_phase.phase3.avg_latency_sec,39.67261969430376
