Words,lvl1,lvl2,lvl3,agreement,n_models,consensus_label,artifact_id
กรมศิลปากร,บริบทเชิงประวัติศาสตร์ ภูมิศาสตร์ และพื้นที่,พื้นที่ทางวัฒนธรรมและสถาบัน,สถานที่จัดแสดงและเขตพระราชฐาน,0.25,4,บริบทเชิงประวัติศาสตร์ ภูมิศาสตร์ และพื้นที่||พื้นที่ทางวัฒนธรรมและสถาบัน||สถานที่จัดแสดงและเขตพระราชฐาน,บริบทเชิงประวัติศาสตร์ ภูมิศาสตร์ และพื้นที่ > พื้นที่ทางวัฒนธรรมและสถาบัน > สถานที่จัดแสดงและเขตพระราชฐาน
กระทบไม้,ศิลปะการแสดงและดนตรี,ดุริยางคศิลป์และคีตศิลป์,เครื่องดนตรีและวงดนตรี,0.5,4,ศิลปะการแสดงและดนตรี||ดุริยางคศิลป์และคีตศิลป์||เครื่องดนตรีและวงดนตรี,ศิลปะการแสดงและดนตรี > ดุริยางคศิลป์และคีตศิลป์ > เครื่องดนตรีและวงดนตรี
กระทุ้ง,ศิลปะการแสดงและดนตรี,นาฏยศิลป์และการแสดง,กระบวนท่ารำและจารีตการแสดง,0.5,4,ศิลปะการแสดงและดนตรี||นาฏยศิลป์และการแสดง||กระบวนท่ารำและจารีตการแสดง,ศิลปะการแสดงและดนตรี > นาฏยศิลป์และการแสดง > กระบวนท่ารำและจารีตการแสดง
กระบวนท่ารำ,ศิลปะการแสดงและดนตรี,นาฏยศิลป์และการแสดง,กระบวนท่ารำและจารีตการแสดง,1.0,4,ศิลปะการแสดงและดนตรี||นาฏยศิลป์และการแสดง||กระบวนท่ารำและจารีตการแสดง,ศิลปะการแสดงและดนตรี > นาฏยศิลป์และการแสดง > กระบวนท่ารำและจารีตการแสดง
กรับพวง,ศิลปะการแสดงและดนตรี,ดุริยางคศิลป์และคีตศิลป์,เครื่องดนตรีและวงดนตรี,0.5,4,ศิลปะการแสดงและดนตรี||ดุริยางคศิลป์และคีตศิลป์||เครื่องดนตรีและวงดนตรี,ศิลปะการแสดงและดนตรี > ดุริยางคศิลป์และคีตศิลป์ > เครื่องดนตรีและวงดนตรี
กราบทูล,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน,สถานภาพและลำดับชั้นทางสังคมในวรรณกรรม,ฐานันดรศักดิ์และระบบเครือญาติ,0.5,4,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน||สถานภาพและลำดับชั้นทางสังคมในวรรณกรรม||ฐานันดรศักดิ์และระบบเครือญาติ,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน > สถานภาพและลำดับชั้นทางสังคมในวรรณกรรม > ฐานันดรศักดิ์และระบบเครือญาติ
กราววีรชัยลิง,ศิลปะการแสดงและดนตรี,ดุริยางคศิลป์และคีตศิลป์,ระเบียบวิธีทางดนตรีและประเภทบทเพลง,0.5,4,ศิลปะการแสดงและดนตรี||ดุริยางคศิลป์และคีตศิลป์||ระเบียบวิธีทางดนตรีและประเภทบทเพลง,ศิลปะการแสดงและดนตรี > ดุริยางคศิลป์และคีตศิลป์ > ระเบียบวิธีทางดนตรีและประเภทบทเพลง
กรุงรัตนโกสินทร์,บริบทเชิงประวัติศาสตร์ ภูมิศาสตร์ และพื้นที่,ภูมิศาสตร์และอาณาบริเวณ,เขตปกครองและภูมิภาค,0.75,4,บริบทเชิงประวัติศาสตร์ ภูมิศาสตร์ และพื้นที่||ภูมิศาสตร์และอาณาบริเวณ||เขตปกครองและภูมิภาค,บริบทเชิงประวัติศาสตร์ ภูมิศาสตร์ และพื้นที่ > ภูมิศาสตร์และอาณาบริเวณ > เขตปกครองและภูมิภาค
กรุงลงกา,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน,นามานุกรมและประเภทตัวละคร,เทวปกรณ์ อสูร และอมนุษย์,0.5,4,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน||นามานุกรมและประเภทตัวละคร||เทวปกรณ์ อสูร และอมนุษย์,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน > นามานุกรมและประเภทตัวละคร > เทวปกรณ์ อสูร และอมนุษย์
กรุงเทพ,บริบทเชิงประวัติศาสตร์ ภูมิศาสตร์ และพื้นที่,ภูมิศาสตร์และอาณาบริเวณ,เขตปกครองและภูมิภาค,1.0,4,บริบทเชิงประวัติศาสตร์ ภูมิศาสตร์ และพื้นที่||ภูมิศาสตร์และอาณาบริเวณ||เขตปกครองและภูมิภาค,บริบทเชิงประวัติศาสตร์ ภูมิศาสตร์ และพื้นที่ > ภูมิศาสตร์และอาณาบริเวณ > เขตปกครองและภูมิภาค
