item_name,item_key_norm,predicted_count,gold_count,TP,FP,FN,predicted_tokens,gold_tokens,tp_tokens,fp_tokens,fn_tokens
กระทบสากหรือกระทบไม้,กระทบสากหรือกระทบไม้,11,10,9,2,1,"กระทบไม้, การละเล่นพื้นเมือง, กิจวัตร, ชาวพื้นเมือง, พระจันทร์, ภาคอีสาน, สากตำข้าว, สุรินทร์, อีสาน, เครื่องประกอบจังหวะ, เต้นสาก","กระทบไม้, การละเล่นพื้นเมือง, กิจวัตร, พระจันทร์, ภาคอีสาน, สากตําข้าว, สุรินทร์, อีสาน, เครื่องประกอบจังหวะ, เต้นสาก","กระทบไม้, การละเล่นพื้นเมือง, กิจวัตร, พระจันทร์, ภาคอีสาน, สุรินทร์, อีสาน, เครื่องประกอบจังหวะ, เต้นสาก","ชาวพื้นเมือง, สากตำข้าว",สากตําข้าว
กราววีรชัยยักษ์,กราววีรชัยยักษ์,3,3,3,0,0,"กองทัพ, จัดทัพ, รามเกียรติ์","กองทัพ, จัดทัพ, รามเกียรติ์","กองทัพ, จัดทัพ, รามเกียรติ์",,
กราววีรชัยลิง,กราววีรชัยลิง,9,9,8,1,1,"กราววีรชัยลิง, กองทัพ, การต่อสู้, ความคล่องแคล่ว, ต่อสู้, พระราม, รามเกียรติ์, วานร, สิบแปดมงกุฎ","กราววีรชยลิง, กองทัพ, การต่อสู้, ความคล่องแคล่ว, ต่อสู้, พระราม, รามเกียรติ์, วานร, สิบแปดมงกุฎ","กองทัพ, การต่อสู้, ความคล่องแคล่ว, ต่อสู้, พระราม, รามเกียรติ์, วานร, สิบแปดมงกุฎ",กราววีรชัยลิง,กราววีรชยลิง
กรุงเทพ,กรุงเทพ,7,6,6,1,0,"กระบวนท่ารำ, กรุงเทพ, กินเนสส์บุ๊ค, นางฟ้า, วาดภาพ, หนังใหญ่, เทวดา","กรุงเทพ, กินเนสส์บุ๊ค, นางฟ้า, วาดภาพ, หนังใหญ่, เทวดา","กรุงเทพ, กินเนสส์บุ๊ค, นางฟ้า, วาดภาพ, หนังใหญ่, เทวดา",กระบวนท่ารำ,
กลองสะบัดชัย,กลองสะบัดชัย,11,9,9,2,0,"กลองสะบัดชัย, การตีกลอง, ขบวนแห่, ข้าศึก, ความคล่องแคล่ว, ชาวพื้นเมือง, พิธีทางศาสนา, ภาคเหนือ, ล้านนา, สงคราม, ออกรบ","กลองสะบัดชัย, การตีกลอง, ขบวนแห่, ข้าศึก, พิธีทางศาสนา, ภาคเหนือ, ล้านนา, สงคราม, ออกรบ","กลองสะบัดชัย, การตีกลอง, ขบวนแห่, ข้าศึก, พิธีทางศาสนา, ภาคเหนือ, ล้านนา, สงคราม, ออกรบ","ความคล่องแคล่ว, ชาวพื้นเมือง",
การแสดงโขนเรื่องรามเกียรติ์ ชุดยกรบ,การแสดงโขนเรื่องรามเกียรติ์ ชุดยกรบ,14,14,14,0,0,"กรุงลงกา, กองทัพ, การขึ้นลอย, การรบ, ชั้นเชิง, ทศกัณฐ์, พระราม, พระลักษมณ์, พลวานร, รามเกียรติ์, วานร, สงคราม, อาวุธ, ไพร่พล","กรุงลงกา, กองทัพ, การขึ้นลอย, การรบ, ชั้นเชิง, ทศกัณฐ์, พระราม, พระลักษมณ์, พลวานร, รามเกียรติ์, วานร, สงคราม, อาวุธ, ไพร่พล","กรุงลงกา, กองทัพ, การขึ้นลอย, การรบ, ชั้นเชิง, ทศกัณฐ์, พระราม, พระลักษมณ์, พลวานร, รามเกียรติ์, วานร, สงคราม, อาวุธ, ไพร่พล",,
การแสดงโขนเรื่องรามเกียรติ์ ตอน กุมภกรรณพุ่งหอกโมกขศักดิ์,การแสดงโขนเรื่องรามเกียรติ์ ตอน กุมภกรรณพุ่งหอกโมกขศักดิ์,15,17,14,1,3,"กรุงลงกา, การศึก, กุมภกรรณ, ขับไล่, ทศกัณฐ์, นางสีดา, พระพรหม, พระราม, มัยราพณ์, รามเกียรติ์, สงคราม, สิ้นชีพ, หอกโมกขศักดิ์, อนุชา, อาสา","กรุงลงกา, การศึก, กุมภกรรณ, ขับไล่, ทศกัณฐ์, นางสีดา, พระพรหม, พระราม, มัยราพณ์, มีฤทธิ์, รับอาสา, สงคราม, สิ้นชีพ, หอกโมกขศักดิ์, อนุชา, อาสา, อุปราช","กรุงลงกา, การศึก, กุมภกรรณ, ขับไล่, ทศกัณฐ์, นางสีดา, พระพรหม, พระราม, มัยราพณ์, สงคราม, สิ้นชีพ, หอกโมกขศักดิ์, อนุชา, อาสา",รามเกียรติ์,"มีฤทธิ์, รับอาสา, อุปราช"
การแสดงโขนเรื่องรามเกียรติ์ ตอน ขับพิเภก,การแสดงโขนเรื่องรามเกียรติ์ ตอน ขับพิเภก,15,22,14,1,8,"กรุงลงกา, กลายร่าง, กะลา, ขับไล่, ทศกัณฐ์, ทำนาย, น้ำมันยาง, พระญาติ, พระราม, พระลาน, พิเภก, รับใช้, รามเกียรติ์, สะเดาะ, ไส้กะลา","กรุงลงกา, กลายร่าง, กะลา, การศึก, ขับไล่, จุดไฟ, ติดมือ, ทศกัณฐ์, ทำนาย, นางสีดา, น้ำมันยาง, ปราชัย, พระญาติ, พระราม, พระลาน, พิเภก, รับใช้, สะเดาะ, สำมนักขา, ให้ร้าย, ไฟไหม้, ไส้กะลา","กรุงลงกา, กลายร่าง, กะลา, ขับไล่, ทศกัณฐ์, ทำนาย, น้ำมันยาง, พระญาติ, พระราม, พระลาน, พิเภก, รับใช้, สะเดาะ, ไส้กะลา",รามเกียรติ์,"การศึก, จุดไฟ, ติดมือ, นางสีดา, ปราชัย, สำมนักขา, ให้ร้าย, ไฟไหม้"
การแสดงโขนเรื่องรามเกียรติ์ ตอน  จองถนน,การแสดงโขนเรื่องรามเกียรติ์ ตอน จองถนน,15,18,14,1,4,"กราบทูล, กรุงลงกา, ขีดขิน, จองถนน, ชามพูวราช, ทะเล, พระราม, พลวานร, รามเกียรติ์, วานร, วิดน้ำ, อาสา, เมืองขีดขิน, เมืองชมพู, ไพร่พล","กราบทูล, กรุงลงกา, ขีดขิน, จองถนน, ชามพูวราช, ทะเล, บรรพต, พระราม, พระเมรุ, พลลิง, พลวานร, วานร, วิดน้ำ, สำเภา, อาสา, เมืองขีดขิน, เมืองชมพู, ไพร่พล","กราบทูล, กรุงลงกา, ขีดขิน, จองถนน, ชามพูวราช, ทะเล, พระราม, พลวานร, วานร, วิดน้ำ, อาสา, เมืองขีดขิน, เมืองชมพู, ไพร่พล",รามเกียรติ์,"บรรพต, พระเมรุ, พลลิง, สำเภา"
การแสดงโขนเรื่องรามเกียรติ์ ตอน นางลอย,การแสดงโขนเรื่องรามเกียรติ์ ตอน นางลอย,15,14,14,1,0,"กรุงลงกา, กองทัพ, จำแลง, ทศกัณฐ์, ทำนาย, นางสีดา, พระราม, พลับพลา, พิเภก, รามเกียรติ์, สงคราม, สะเดาะ, สะเดาะเคราะห์, เบญกาย, แม่น้ำ","กรุงลงกา, กองทัพ, จำแลง, ทศกัณฐ์, ทำนาย, นางสีดา, พระราม, พลับพลา, พิเภก, สงคราม, สะเดาะ, สะเดาะเคราะห์, เบญกาย, แม่น้ำ","กรุงลงกา, กองทัพ, จำแลง, ทศกัณฐ์, ทำนาย, นางสีดา, พระราม, พลับพลา, พิเภก, สงคราม, สะเดาะ, สะเดาะเคราะห์, เบญกาย, แม่น้ำ",รามเกียรติ์,
