ลำดับ,ชื่อชุดการแสดง,words,match_sources
1,กรุงเทพ,"กระบวนท่ารำ, กรุงเทพ, การรบ, กินเนสส์บุ๊ค, นางฟ้า, วาดภาพ, หนังใหญ่, ออกรบ, เทวดา",กระบวนท่ารำ:desc_fuzzy; กรุงเทพ:name_exact; การรบ:desc_fuzzy; กินเนสส์บุ๊ค:desc_exact; นางฟ้า:desc_exact; วาดภาพ:desc_exact; หนังใหญ่:desc_exact; ออกรบ:desc_fuzzy; เทวดา:desc_exact
2,กีปัสเรนัง,"ขบวนแห่, ขับลำ, ขับไล่, ชาวพื้นเมือง, ธงไทย, บุหงา, บุหรงซีงอ, ปัดเป่า, ปัตตานี, ฝากตัว, พัดเรนัง, ภาคใต้, มลายู",ขบวนแห่:desc_exact; ขับลำ:desc_fuzzy; ขับไล่:desc_exact; ชาวพื้นเมือง:desc_exact; ธงไทย:desc_fuzzy; บุหงา:desc_fuzzy; บุหรงซีงอ:desc_exact; ปัดเป่า:desc_exact; ปัตตานี:desc_exact; ฝากตัว:desc_fuzzy; พัดเรนัง:desc_exact; ภาคใต้:desc_exact; มลายู:desc_exact
3,จตุรภาคี,"ตารี, ตารีกีปัส, ภาคกลาง, ภาคตะวันออกเฉียงเหนือ, ภาคเหนือ, ภาคใต้, สี่ภาค, เถิดเทิง",ตารี:desc_exact; ตารีกีปัส:desc_exact; ภาคกลาง:desc_exact; ภาคตะวันออกเฉียงเหนือ:desc_exact; ภาคเหนือ:desc_exact; ภาคใต้:desc_exact; สี่ภาค:desc_exact; เถิดเทิง:desc_exact
4,เจ้าพระยานที,"การรบ, ชาวนา, ธงไทย, ฝั่งน้ำ, พระยา, สายน้ำ, เจ้าพระยา, แผ่อิทธิพล",การรบ:desc_fuzzy; ชาวนา:desc_fuzzy; ธงไทย:desc_fuzzy; ฝั่งน้ำ:desc_exact; พระยา:name_exact; สายน้ำ:desc_exact; เจ้าพระยา:name_exact; แผ่อิทธิพล:desc_exact
5,นบนที,"กระทุ้ง, ขอขมา, ทางธรรมชาติ, ผู้มีพระคุณ, พระแม่คงคา, ลอยกระทง, สะล้อ, สายน้ำ, สิ่งศักดิ์สิทธิ์",กระทุ้ง:desc_fuzzy; ขอขมา:desc_exact; ทางธรรมชาติ:desc_fuzzy; ผู้มีพระคุณ:desc_fuzzy; พระแม่คงคา:desc_exact; ลอยกระทง:desc_exact; สะล้อ:desc_fuzzy; สายน้ำ:desc_exact; สิ่งศักดิ์สิทธิ์:desc_exact
6,ชาวดอย,"การละเล่นพื้นเมือง, ชาวพื้นเมือง, ทางธรรมชาติ, ภาคเหนือ, เกษตรกรรม",การละเล่นพื้นเมือง:desc_exact; ชาวพื้นเมือง:name_exact; ทางธรรมชาติ:desc_fuzzy; ภาคเหนือ:desc_exact; เกษตรกรรม:desc_exact
7,ชาติพันธุ์สราญ,"กลุ่มชาติพันธุ์, งานรื่นเริง, ชาติพันธุ์, ชาวพื้นเมือง, นครปฐม, พระยา, ภาคใต้, ร่มพระบารมี, ลาวครั่ง, ลาวเวียง, อินเดีย, ไทยจีน, ไทยทรงดำ, ไทยรามัญ",กลุ่มชาติพันธุ์:name_fuzzy; งานรื่นเริง:desc_fuzzy; ชาติพันธุ์:name_exact; ชาวพื้นเมือง:name_fuzzy; นครปฐม:desc_exact; พระยา:desc_fuzzy; ภาคใต้:desc_fuzzy; ร่มพระบารมี:desc_exact; ลาวครั่ง:desc_exact; ลาวเวียง:desc_exact; อินเดีย:desc_fuzzy; ไทยจีน:desc_exact; ไทยทรงดำ:desc_exact; ไทยรามัญ:desc_exact
8,นาฏ ณ วัง,"การทอ, การสอน, พระยา, พระราชวังบวรสถานมงคล, พระราม, วังหน้า, หนังใหญ่, ออกรบ, เคลื่อนไหว, เวที",การทอ:desc_fuzzy; การสอน:desc_fuzzy; พระยา:desc_fuzzy; พระราชวังบวรสถานมงคล:desc_exact; พระราม:desc_fuzzy; วังหน้า:desc_exact; หนังใหญ่:desc_exact; ออกรบ:desc_fuzzy; เคลื่อนไหว:desc_exact; เวที:desc_exact
9,ตะกล้อล้อท่า,"กระบวนท่ารำ, การรบ, การละเล่นพื้นเมือง, ชาวพื้นเมือง, ตะกร้อ, ตีลังกา, ธงไทย, นานาชาติ, ระดับชาติ, ศีรษะ, สะล้อ, สากล, แม่ท่า, แม่บท",กระบวนท่ารำ:desc_fuzzy; การรบ:desc_fuzzy; การละเล่นพื้นเมือง:desc_exact; ชาวพื้นเมือง:desc_exact; ตะกร้อ:name_fuzzy; ตีลังกา:desc_exact; ธงไทย:desc_fuzzy; นานาชาติ:desc_exact; ระดับชาติ:desc_exact; ศีรษะ:desc_exact; สะล้อ:name_fuzzy; สากล:desc_exact; แม่ท่า:desc_exact; แม่บท:desc_fuzzy
10,นักษัตร,"กระบวนท่ารำ, ธงไทย, นักษัตร, เคลื่อนไหว, เวที",กระบวนท่ารำ:desc_fuzzy; ธงไทย:desc_fuzzy; นักษัตร:name_exact; เคลื่อนไหว:desc_exact; เวที:desc_exact
11,ฟ้อนขันดอก,"กระบวนท่ารำ, การโปรย, ขันดอก, ดอกไม้, ภาคเหนือ, ล้านนา",กระบวนท่ารำ:desc_fuzzy; การโปรย:desc_exact; ขันดอก:name_exact; ดอกไม้:desc_exact; ภาคเหนือ:desc_exact; ล้านนา:desc_exact
12,นาฏยมวยไทย,"ต้นขา, ธงไทย, บรรพต, บรรพบุรุษ, ป้องกันตัว, มวยโบราณ, มวยไทย, ศิลปะป้องกันตัว, แปลงตัว",ต้นขา:desc_fuzzy; ธงไทย:desc_fuzzy; บรรพต:desc_fuzzy; บรรพบุรุษ:desc_exact; ป้องกันตัว:desc_exact; มวยโบราณ:name_exact; มวยไทย:name_exact; ศิลปะป้องกันตัว:desc_exact; แปลงตัว:desc_fuzzy
13,ผืนไท,"การทอ, ธงไทย, นักษัตร, พระมหากษัตริย์, ภาคใต้, ออกรบ, อาณาประชาราษฎร์, เคลื่อนไหว, เวที, ไตรรงค์",การทอ:desc_fuzzy; ธงไทย:desc_exact; นักษัตร:desc_exact; พระมหากษัตริย์:desc_exact; ภาคใต้:desc_fuzzy; ออกรบ:desc_fuzzy; อาณาประชาราษฎร์:desc_exact; เคลื่อนไหว:desc_exact; เวที:desc_exact; ไตรรงค์:desc_exact
14,ฟ้อนลีลาวดี,"ดนตรีพื้นบ้าน, ดนตรีไทย, ตารี, ต้นลีลาวดี, พระลอ, พระอุโบสถ, วังหน้า, สุทธาวาส",ดนตรีพื้นบ้าน:desc_exact; ดนตรีไทย:desc_exact; ตารี:desc_fuzzy; ต้นลีลาวดี:name_fuzzy; พระลอ:desc_fuzzy; พระอุโบสถ:desc_exact; วังหน้า:desc_exact; สุทธาวาส:desc_exact
15,ระบำม้า,"การทอ, การสอน, ธิเบศร์, บุรี, ยมะ, ระบำมาตรฐาน, ออกเดินทาง, เชษฐา, เดินทาง",การทอ:desc_fuzzy; การสอน:desc_exact; ธิเบศร์:desc_exact; บุรี:desc_exact; ยมะ:desc_exact; ระบำมาตรฐาน:name_fuzzy; ออกเดินทาง:desc_exact; เชษฐา:desc_fuzzy; เดินทาง:desc_exact
16,วิรัชสราญรมย์,"ธงไทย, รัชกาล, รัชฎา, สากล, เพลงสากล, เพลงไทย",ธงไทย:desc_fuzzy; รัชกาล:desc_exact; รัชฎา:desc_fuzzy; สากล:desc_exact; เพลงสากล:desc_exact; เพลงไทย:desc_exact
17,ลายเกราะ,"ดนตรีพื้นบ้าน, ดนตรีไทย, พระลอ, ภาคอีสาน, อีสาน, เกราะลอ, เครื่องดนตรีพื้นบ้าน, เครื่องดนตรีพื้นเมือง",ดนตรีพื้นบ้าน:desc_exact; ดนตรีไทย:desc_exact; พระลอ:desc_fuzzy; ภาคอีสาน:desc_exact; อีสาน:desc_exact; เกราะลอ:name_fuzzy; เครื่องดนตรีพื้นบ้าน:desc_exact; เครื่องดนตรีพื้นเมือง:desc_exact
18,รับขวัญข้าว,"การทอ, การทำขวัญ, ชาวพื้นเมือง, ธัญญาหาร, ผู้มีพระคุณ, พืชพรรณ, สะล้อ, อาหาร, เวที",การทอ:desc_fuzzy; การทำขวัญ:desc_exact; ชาวพื้นเมือง:name_fuzzy; ธัญญาหาร:desc_exact; ผู้มีพระคุณ:desc_exact; พืชพรรณ:desc_exact; สะล้อ:desc_fuzzy; อาหาร:desc_exact; เวที:desc_exact
19,พนาธาร,"ของป่า, ทางธรรมชาติ, เคลื่อนไหว",ของป่า:desc_exact; ทางธรรมชาติ:desc_fuzzy; เคลื่อนไหว:desc_exact
20,ล่องใต้,"การรบ, ภาคใต้, ล่องใต้, สะล้อ",การรบ:desc_fuzzy; ภาคใต้:desc_exact; ล่องใต้:name_exact; สะล้อ:desc_fuzzy
