config,threshold,challenge_lexical_threshold,Precision,Recall,F1,TP,FP,FN,n_gold_pairs,n_pred_pairs,exact_ratio,fuzzy_contrib_ratio,semantic_contrib_ratio
exact_only,70,85,0.0,0.0,0.0,0,82,17,17,82,1.0,0.0,0.0
exact_only,75,85,0.0,0.0,0.0,0,82,17,17,82,1.0,0.0,0.0
exact_only,80,85,0.0,0.0,0.0,0,82,17,17,82,1.0,0.0,0.0
exact_only,85,85,0.0,0.0,0.0,0,82,17,17,82,1.0,0.0,0.0
exact_only,90,85,0.0,0.0,0.0,0,82,17,17,82,1.0,0.0,0.0
exact_only,95,85,0.0,0.0,0.0,0,82,17,17,82,1.0,0.0,0.0
exact_token_partial,70,85,0.0,0.0,0.0,0,146,17,17,146,0.473,0.527,0.0
exact_token_partial,75,85,0.0,0.0,0.0,0,135,17,17,135,0.575,0.425,0.0
exact_token_partial,80,85,0.0,0.0,0.0,0,113,17,17,113,0.796,0.204,0.0
exact_token_partial,85,85,0.0,0.0,0.0,0,86,17,17,86,0.9532,0.0468,0.0
exact_token_partial,90,85,0.0,0.0,0.0,0,84,17,17,84,0.9761,0.0239,0.0
exact_token_partial,95,85,0.0,0.0,0.0,0,82,17,17,82,0.9931,0.0069,0.0
semantic_only,70,85,0.006666666666666667,0.058823529411764705,0.011976047904191617,1,149,16,17,150,0.0,0.0,1.0
semantic_only,75,85,0.006666666666666667,0.058823529411764705,0.011976047904191617,1,149,16,17,150,0.0,0.0,1.0
semantic_only,80,85,0.006666666666666667,0.058823529411764705,0.011976047904191617,1,149,16,17,150,0.0,0.0,1.0
semantic_only,85,85,0.006666666666666667,0.058823529411764705,0.011976047904191617,1,149,16,17,150,0.0,0.0,1.0
semantic_only,90,85,0.006666666666666667,0.058823529411764705,0.011976047904191617,1,149,16,17,150,0.0,0.0,1.0
semantic_only,95,85,0.006666666666666667,0.058823529411764705,0.011976047904191617,1,149,16,17,150,0.0,0.0,1.0
hybrid_dense,70,85,0.0,0.0,0.0,0,150,17,17,150,0.0173,0.0193,0.9635
hybrid_dense,75,85,0.0,0.0,0.0,0,150,17,17,150,0.0175,0.0129,0.9696
hybrid_dense,80,85,0.0,0.0,0.0,0,150,17,17,150,0.0178,0.0046,0.9777
hybrid_dense,85,85,0.0,0.0,0.0,0,150,17,17,150,0.018,0.0009,0.9811
hybrid_dense,90,85,0.0,0.0,0.0,0,150,17,17,150,0.018,0.0004,0.9815
hybrid_dense,95,85,0.0,0.0,0.0,0,150,17,17,150,0.0181,0.0001,0.9818
