ลำดับ,ประเภทชุดการแสดง,ชื่อชุดการแสดง,คำอธิบายชุดการแสดง,จำนวนผู้แสดง,ระยะเวลาการแสดง (นาที), ราคาต่อชุด ,ประเภทการแสดง,บริบทย่อย,บริบทหลัก
1,การแสดงนาฏศิลป์สร้างสรรค์,กรุงเทพ,"กรุงเทพ เป็นการแสดงที่ได้แนวคิดมาจากชื่อเต็มเมืองหลวง
ของประเทศไทยคือ กรุงเทพมหานคร ที่ได้รับการบันทึกจากกินเนสส์บุ๊ค
(Guinness Book) ว่า เป็นชื่อเมืองที่มีความยาวที่สุดในโลก 
ความหมายโดยรวม หมายถึง เมืองอันยิงใหญ่ที่ถูกสรรค์สร้างโดยเหล่าเทพ 
กระบวนท่ารําสื่อถึงการร่ายรําของเหล่าเทวดานางฟ้า นอกจากนี้ยังผสมผสาน 
การเชิดหนังใหญ่ที่ออกแบบวาดภาพสถานที่สําคัญของกรุงเทพฯ ประกอบการแสดง",12,10," 24,000 ",การแสดงสร้างสรรค์,วันสงกรานต์,งานเทศกาล
2,การแสดงนาฏศิลป์สร้างสรรค์,กรุงเทพ,"กรุงเทพ เป็นการแสดงที่ได้แนวคิดมาจากชื่อเต็มเมืองหลวง
ของประเทศไทยคือ กรุงเทพมหานคร ที่ได้รับการบันทึกจากกินเนสส์บุ๊ค
(Guinness Book) ว่า เป็นชื่อเมืองที่มีความยาวที่สุดในโลก 
ความหมายโดยรวม หมายถึง เมืองอันยิงใหญ่ที่ถูกสรรค์สร้างโดยเหล่าเทพ 
กระบวนท่ารําสื่อถึงการร่ายรําของเหล่าเทวดานางฟ้า นอกจากนี้ยังผสมผสาน 
การเชิดหนังใหญ่ที่ออกแบบวาดภาพสถานที่สําคัญของกรุงเทพฯ ประกอบการแสดง",12,10," 24,000 ",การแสดงสร้างสรรค์,วันขึ้นปีใหม่,งานเทศกาล
3,การแสดงนาฏศิลป์สร้างสรรค์,กรุงเทพ,"กรุงเทพ เป็นการแสดงที่ได้แนวคิดมาจากชื่อเต็มเมืองหลวง
ของประเทศไทยคือ กรุงเทพมหานคร ที่ได้รับการบันทึกจากกินเนสส์บุ๊ค
(Guinness Book) ว่า เป็นชื่อเมืองที่มีความยาวที่สุดในโลก 
ความหมายโดยรวม หมายถึง เมืองอันยิงใหญ่ที่ถูกสรรค์สร้างโดยเหล่าเทพ 
กระบวนท่ารําสื่อถึงการร่ายรําของเหล่าเทวดานางฟ้า นอกจากนี้ยังผสมผสาน 
การเชิดหนังใหญ่ที่ออกแบบวาดภาพสถานที่สําคัญของกรุงเทพฯ ประกอบการแสดง",12,10," 24,000 ",การแสดงสร้างสรรค์,การเผยแพร่วัฒนธรรมในประเทศ,งานเผยแพร่วัฒนธรรม
4,การแสดงนาฏศิลป์สร้างสรรค์,กรุงเทพ,"กรุงเทพ เป็นการแสดงที่ได้แนวคิดมาจากชื่อเต็มเมืองหลวง
ของประเทศไทยคือ กรุงเทพมหานคร ที่ได้รับการบันทึกจากกินเนสส์บุ๊ค
(Guinness Book) ว่า เป็นชื่อเมืองที่มีความยาวที่สุดในโลก 
ความหมายโดยรวม หมายถึง เมืองอันยิงใหญ่ที่ถูกสรรค์สร้างโดยเหล่าเทพ 
กระบวนท่ารําสื่อถึงการร่ายรําของเหล่าเทวดานางฟ้า นอกจากนี้ยังผสมผสาน 
การเชิดหนังใหญ่ที่ออกแบบวาดภาพสถานที่สําคัญของกรุงเทพฯ ประกอบการแสดง",12,10," 24,000 ",การแสดงสร้างสรรค์,การเผยแพร่วัฒนธรรมต่างประเทศ,งานเผยแพร่วัฒนธรรม
5,การแสดงนาฏศิลป์สร้างสรรค์,กีปัสเรนัง,"กีปัสเรนัง เป็นการแสดงที่นําแนวคิดมาจากประเพณีแห่นกทางภาคใต้ของไทย
โดยเฉพาะจังหวัดปัตตานี ที่มีความสวยงามของพัดเรนัง ปรากฏอยู่ในขบวนแห่
บุหรงซีงอ ซึ่งชาวมลายูเชื่อกันว่า นอกจากพัดจะนําความร่มเย็นมาสู่ตัวแล้ว
ยังสามารถขจัดปัดเป่าทุกข์โศกโรคภัยให้พ้นออกจากตัว เสียงของพัดเรนัง
ที่ดังเป็นเอกลักษณ์ เชื่อว่าจะสามารถขับไล่สิ่งชั่วร้ายให้ออกไป ประกอบกับลีลา
การใช้พัดในรูปแบบต่างๆที่น่าสนใจ",5,10," 10,000 ",การแสดงสร้างสรรค์,งานต้อนรับอาคันตุกะ,งานรัฐพิธี
6,การแสดงนาฏศิลป์สร้างสรรค์,กีปัสเรนัง,"กีปัสเรนัง เป็นการแสดงที่นําแนวคิดมาจากประเพณีแห่นกทางภาคใต้ของไทย
โดยเฉพาะจังหวัดปัตตานี ที่มีความสวยงามของพัดเรนัง ปรากฏอยู่ในขบวนแห่
บุหรงซีงอ ซึ่งชาวมลายูเชื่อกันว่า นอกจากพัดจะนําความร่มเย็นมาสู่ตัวแล้ว
ยังสามารถขจัดปัดเป่าทุกข์โศกโรคภัยให้พ้นออกจากตัว เสียงของพัดเรนัง
ที่ดังเป็นเอกลักษณ์ เชื่อว่าจะสามารถขับไล่สิ่งชั่วร้ายให้ออกไป ประกอบกับลีลา
การใช้พัดในรูปแบบต่างๆที่น่าสนใจ",5,10," 10,000 ",การแสดงสร้างสรรค์,งานทำบุญ,งานมงคล
7,การแสดงนาฏศิลป์สร้างสรรค์,กีปัสเรนัง,"กีปัสเรนัง เป็นการแสดงที่นําแนวคิดมาจากประเพณีแห่นกทางภาคใต้ของไทย
โดยเฉพาะจังหวัดปัตตานี ที่มีความสวยงามของพัดเรนัง ปรากฏอยู่ในขบวนแห่
บุหรงซีงอ ซึ่งชาวมลายูเชื่อกันว่า นอกจากพัดจะนําความร่มเย็นมาสู่ตัวแล้ว
ยังสามารถขจัดปัดเป่าทุกข์โศกโรคภัยให้พ้นออกจากตัว เสียงของพัดเรนัง
ที่ดังเป็นเอกลักษณ์ เชื่อว่าจะสามารถขับไล่สิ่งชั่วร้ายให้ออกไป ประกอบกับลีลา
การใช้พัดในรูปแบบต่างๆที่น่าสนใจ",5,10," 10,000 ",การแสดงสร้างสรรค์,งานวันเกิด,งานมงคล
8,การแสดงนาฏศิลป์สร้างสรรค์,กีปัสเรนัง,"กีปัสเรนัง เป็นการแสดงที่นําแนวคิดมาจากประเพณีแห่นกทางภาคใต้ของไทย
โดยเฉพาะจังหวัดปัตตานี ที่มีความสวยงามของพัดเรนัง ปรากฏอยู่ในขบวนแห่
บุหรงซีงอ ซึ่งชาวมลายูเชื่อกันว่า นอกจากพัดจะนําความร่มเย็นมาสู่ตัวแล้ว
ยังสามารถขจัดปัดเป่าทุกข์โศกโรคภัยให้พ้นออกจากตัว เสียงของพัดเรนัง
ที่ดังเป็นเอกลักษณ์ เชื่อว่าจะสามารถขับไล่สิ่งชั่วร้ายให้ออกไป ประกอบกับลีลา
การใช้พัดในรูปแบบต่างๆที่น่าสนใจ",5,10," 10,000 ",การแสดงสร้างสรรค์,งานเปิดบริษัท,งานมงคล
9,การแสดงนาฏศิลป์สร้างสรรค์,กีปัสเรนัง,"กีปัสเรนัง เป็นการแสดงที่นําแนวคิดมาจากประเพณีแห่นกทางภาคใต้ของไทย
โดยเฉพาะจังหวัดปัตตานี ที่มีความสวยงามของพัดเรนัง ปรากฏอยู่ในขบวนแห่
บุหรงซีงอ ซึ่งชาวมลายูเชื่อกันว่า นอกจากพัดจะนําความร่มเย็นมาสู่ตัวแล้ว
ยังสามารถขจัดปัดเป่าทุกข์โศกโรคภัยให้พ้นออกจากตัว เสียงของพัดเรนัง
ที่ดังเป็นเอกลักษณ์ เชื่อว่าจะสามารถขับไล่สิ่งชั่วร้ายให้ออกไป ประกอบกับลีลา
การใช้พัดในรูปแบบต่างๆที่น่าสนใจ",5,10," 10,000 ",การแสดงสร้างสรรค์,วันสงกรานต์,งานเทศกาล
10,การแสดงนาฏศิลป์สร้างสรรค์,กีปัสเรนัง,"กีปัสเรนัง เป็นการแสดงที่นําแนวคิดมาจากประเพณีแห่นกทางภาคใต้ของไทย
โดยเฉพาะจังหวัดปัตตานี ที่มีความสวยงามของพัดเรนัง ปรากฏอยู่ในขบวนแห่
บุหรงซีงอ ซึ่งชาวมลายูเชื่อกันว่า นอกจากพัดจะนําความร่มเย็นมาสู่ตัวแล้ว
ยังสามารถขจัดปัดเป่าทุกข์โศกโรคภัยให้พ้นออกจากตัว เสียงของพัดเรนัง
ที่ดังเป็นเอกลักษณ์ เชื่อว่าจะสามารถขับไล่สิ่งชั่วร้ายให้ออกไป ประกอบกับลีลา
การใช้พัดในรูปแบบต่างๆที่น่าสนใจ",5,10," 10,000 ",การแสดงสร้างสรรค์,วันขึ้นปีใหม่,งานเทศกาล
