seed,MAX_CANDS,user,model,target,rank,HR@10,MRR@10,nDCG@10,feasible
42,20,บุคคล1,CBF-multilingual-e5-large-instruct,การแสดงโขนเรื่องรามเกียรติ์ ชุดยกรบ,1,1.0,1.0,1.0,1
42,20,บุคคล10,CBF-multilingual-e5-large-instruct,การแสดงโขนเรื่องรามเกียรติ์ ตอน พระรามตามกวาง,4,1.0,0.25,0.43067655807339306,1
42,20,บุคคล11,CBF-multilingual-e5-large-instruct,นักษัตร,1,1.0,1.0,1.0,1
42,20,บุคคล12,CBF-multilingual-e5-large-instruct,ฟ้อนเจิง,6,1.0,0.16666666666666666,0.3562071871080222,1
42,20,บุคคล13,CBF-multilingual-e5-large-instruct,ระบำสุโขทัย,1,1.0,1.0,1.0,1
42,20,บุคคล14,CBF-multilingual-e5-large-instruct,ระบำสุโขทัย,1,1.0,1.0,1.0,1
42,20,บุคคล15,CBF-multilingual-e5-large-instruct,การแสดงโขนเรื่องรามเกียรติ์ ชุดยกรบ,1,1.0,1.0,1.0,1
42,20,บุคคล16,CBF-multilingual-e5-large-instruct,ระบำศรีชยสิงห์,1,1.0,1.0,1.0,1
42,20,บุคคล17,CBF-multilingual-e5-large-instruct,ระบำชุดไทยพระราชนิยม,1,1.0,1.0,1.0,1
42,20,บุคคล18,CBF-multilingual-e5-large-instruct,รองเง็ง,2,1.0,0.5,0.6309297535714575,1
42,20,บุคคล19,CBF-multilingual-e5-large-instruct,เซิ้งโปงลาง,1,1.0,1.0,1.0,1
42,20,บุคคล2,CBF-multilingual-e5-large-instruct,ฟ้อนที,1,1.0,1.0,1.0,1
42,20,บุคคล20,CBF-multilingual-e5-large-instruct,การแสดงโขนเรื่องรามเกียรติ์ ตอน ขับพิเภก,1,1.0,1.0,1.0,1
42,20,บุคคล21,CBF-multilingual-e5-large-instruct,การแสดงโขนเรื่องรามเกียรติ์ ตอน ขับพิเภก,8,1.0,0.125,0.31546487678572877,1
42,20,บุคคล22,CBF-multilingual-e5-large-instruct,รับขวัญข้าว,1,1.0,1.0,1.0,1
42,20,บุคคล23,CBF-multilingual-e5-large-instruct,การแสดงโขนเรื่องรามเกียรติ์ ตอน พระรามตามกวาง,3,1.0,0.3333333333333333,0.5,1
42,20,บุคคล24,CBF-multilingual-e5-large-instruct,การแสดงโขนเรื่องรามเกียรติ์ ตอน พระรามตามกวาง,4,1.0,0.25,0.43067655807339306,1
42,20,บุคคล25,CBF-multilingual-e5-large-instruct,ฟ้อนมาลัย,1,1.0,1.0,1.0,1
42,20,บุคคล26,CBF-multilingual-e5-large-instruct,การแสดงโขนเรื่องรามเกียรติ์ ตอน พระรามตามกวาง,1,1.0,1.0,1.0,1
42,20,บุคคล27,CBF-multilingual-e5-large-instruct,การแสดงโขนเรื่องรามเกียรติ์ ตอน ขับพิเภก,1,1.0,1.0,1.0,1
42,20,บุคคล28,CBF-multilingual-e5-large-instruct,เซิ้งสวิง,1,1.0,1.0,1.0,1
42,20,บุคคล29,CBF-multilingual-e5-large-instruct,เซิ้งสวิง,1,1.0,1.0,1.0,1
42,20,บุคคล3,CBF-multilingual-e5-large-instruct,รำเถิดเทิง,1,1.0,1.0,1.0,1
42,20,บุคคล30,CBF-multilingual-e5-large-instruct,ฟ้อนรัก,1,1.0,1.0,1.0,1
42,20,บุคคล31,CBF-multilingual-e5-large-instruct,การแสดงโขนเรื่องรามเกียรติ์ ตอน พระรามตามกวาง,1,1.0,1.0,1.0,1
42,20,บุคคล32,CBF-multilingual-e5-large-instruct,ฟ้อนรัก,1,1.0,1.0,1.0,1
42,20,บุคคล33,CBF-multilingual-e5-large-instruct,รำซัดชาตรี,1,1.0,1.0,1.0,1
42,20,บุคคล34,CBF-multilingual-e5-large-instruct,รำซัดชาตรี,3,1.0,0.3333333333333333,0.5,1
42,20,บุคคล35,CBF-multilingual-e5-large-instruct,การแสดงโขนเรื่องรามเกียรติ์ ตอน ลักสีดา,1,1.0,1.0,1.0,1
42,20,บุคคล36,CBF-multilingual-e5-large-instruct,การแสดงโขนเรื่องรามเกียรติ์ ตอน ลักสีดา,1,1.0,1.0,1.0,1
42,20,บุคคล37,CBF-multilingual-e5-large-instruct,ตะกล้อล้อท่า,4,1.0,0.25,0.43067655807339306,1
42,20,บุคคล38,CBF-multilingual-e5-large-instruct,ฟ้อนรัก,1,1.0,1.0,1.0,1
42,20,บุคคล39,CBF-multilingual-e5-large-instruct,ฟ้อนภูไท 3 เผ่า,2,1.0,0.5,0.6309297535714575,1
42,20,บุคคล4,CBF-multilingual-e5-large-instruct,ฟ้อนเทียน,1,1.0,1.0,1.0,1
42,20,บุคคล40,CBF-multilingual-e5-large-instruct,รองเง็ง,1,1.0,1.0,1.0,1
42,20,บุคคล5,CBF-multilingual-e5-large-instruct,กีปัสเรนัง,1,1.0,1.0,1.0,1
42,20,บุคคล6,CBF-multilingual-e5-large-instruct,การแสดงโขนเรื่องรามเกียรติ์ ตอน นางลอย,1,1.0,1.0,1.0,1
42,20,บุคคล7,CBF-multilingual-e5-large-instruct,เซิ้งสวิง,1,1.0,1.0,1.0,1
42,20,บุคคล8,CBF-multilingual-e5-large-instruct,ฟ้อนภูไท,2,1.0,0.5,0.6309297535714575,1
42,20,บุคคล9,CBF-multilingual-e5-large-instruct,การแสดงโขนเรื่องรามเกียรติ์ ตอน พระรามตามกวาง,2,1.0,0.5,0.6309297535714575,1
42,20,ราชการ1,CBF-multilingual-e5-large-instruct,กินนรีร่อนออกมโนราห์บูชายัญ,2,1.0,0.5,0.6309297535714575,1
42,20,ราชการ10,CBF-multilingual-e5-large-instruct,หนุมานจับนางสุพรรณมัจฉา,1,1.0,1.0,1.0,1
42,20,ราชการ11,CBF-multilingual-e5-large-instruct,การแสดงโขนเรื่องรามเกียรติ์ ตอน พระรามตามกวาง,2,1.0,0.5,0.6309297535714575,1
42,20,ราชการ12,CBF-multilingual-e5-large-instruct,ฟ้อนดวงเดือน,1,1.0,1.0,1.0,1
42,20,ราชการ13,CBF-multilingual-e5-large-instruct,ระบำศรีวิชัย,1,1.0,1.0,1.0,1
