seed,MAX_CANDS,user_bin,model,nDCG@10_mean,HR@10_mean,MRR@10_mean,n_users
42,20,cold,CBF-multilingual-e5-large-instruct,0.9072043885703581,1.0,0.8756830601092895,61
123,20,cold,CBF-multilingual-e5-large-instruct,0.9085272523175708,1.0,0.8776836158192091,59
999,20,cold,CBF-multilingual-e5-large-instruct,0.9331044209750595,1.0,0.9100529100529101,63
2024,20,cold,CBF-multilingual-e5-large-instruct,0.9151947229157837,1.0,0.88671875,64
555,20,cold,CBF-multilingual-e5-large-instruct,0.8930180286797325,0.9838709677419355,0.8630568356374807,62
42,20,mid,CBF-multilingual-e5-large-instruct,0.8671379965584806,1.0,0.8232587064676616,67
123,20,mid,CBF-multilingual-e5-large-instruct,0.8746756293406154,1.0,0.8327380952380953,68
999,20,mid,CBF-multilingual-e5-large-instruct,0.8811213321731675,0.9852941176470589,0.8464460784313727,68
2024,20,mid,CBF-multilingual-e5-large-instruct,0.8497438400720373,0.9855072463768116,0.8059753853232114,69
555,20,mid,CBF-multilingual-e5-large-instruct,0.8978303292726127,1.0,0.8628019323671497,69
42,20,heavy,CBF-multilingual-e5-large-instruct,0.9237939008539894,1.0,0.8977272727272727,22
123,20,heavy,CBF-multilingual-e5-large-instruct,0.8958297335227319,1.0,0.8617424242424242,22
999,20,heavy,CBF-multilingual-e5-large-instruct,0.8524610171300527,1.0,0.8030303030303029,22
2024,20,heavy,CBF-multilingual-e5-large-instruct,0.9209936139610416,1.0,0.8939393939393938,22
555,20,heavy,CBF-multilingual-e5-large-instruct,0.9058420988095264,1.0,0.8766233766233765,22
42,20,cold,CBF-bge-m3,0.9178682080978889,1.0,0.8904371584699453,61
123,20,cold,CBF-bge-m3,0.8949838942089425,1.0,0.8615819209039548,59
999,20,cold,CBF-bge-m3,0.9399405568174943,1.0,0.9206349206349206,63
2024,20,cold,CBF-bge-m3,0.9123113616155608,1.0,0.8834635416666666,64
555,20,cold,CBF-bge-m3,0.8910654119212503,0.9838709677419355,0.8613287250384024,62
42,20,mid,CBF-bge-m3,0.8321062435897253,0.9701492537313433,0.7870646766169155,67
123,20,mid,CBF-bge-m3,0.83252048000675,1.0,0.7762254901960786,68
999,20,mid,CBF-bge-m3,0.8653145832279759,0.9852941176470589,0.8261204481792718,68
2024,20,mid,CBF-bge-m3,0.862259378948566,0.9710144927536232,0.8253623188405798,69
555,20,mid,CBF-bge-m3,0.8942029906565239,1.0,0.859799861973775,69
42,20,heavy,CBF-bge-m3,0.8731963011828321,1.0,0.8310606060606059,22
123,20,heavy,CBF-bge-m3,0.8673786264161695,1.0,0.8246753246753247,22
999,20,heavy,CBF-bge-m3,0.7734546310910944,0.9545454545454546,0.712121212121212,22
2024,20,heavy,CBF-bge-m3,0.9286671162760634,1.0,0.9053030303030302,22
555,20,heavy,CBF-bge-m3,0.8898783810876657,0.9545454545454546,0.8693181818181818,22
42,20,cold,CBF-SCT-KD-model-phayathaibert,0.8209698030304842,0.9508196721311475,0.7766393442622951,61
