Model,MAX_CANDS_LABEL,nDCG_mean,nDCG_std,HR_mean,HR_std,MRR_mean,MRR_std,coverage_mean,feasible_mean,nDCG@10,HR@10,MRR@10
CBF-SCT-KD-model-phayathaibert,20,0.8269590602152219,0.008636185483118185,0.9763646546588614,0.015051656295028098,0.778017836805406,0.014116787070738566,0.9743589743589745,152.0,0.8270±0.0086,0.9764±0.0151,0.7780±0.0141
CBF-SCT-KD-model-phayathaibert,40,0.7957154368906514,0.022590505768409642,0.9600656332914397,0.00833088926870192,0.7420484171912742,0.028375646130965142,0.9948717948717949,155.2,0.7957±0.0226,0.9601±0.0083,0.7420±0.0284
CBF-SCT-KD-model-phayathaibert,80,0.7880389899657153,0.024446924269723166,0.9576344086021505,0.011661453058958934,0.7330127023514119,0.031899996036561726,0.9987179487179487,155.8,0.7880±0.0244,0.9576±0.0117,0.7330±0.0319
CBF-SCT-KD-model-phayathaibert,all eligible,0.7895218707327983,0.025490146328483555,0.964102564102564,0.024240603078447505,0.7323626373626373,0.028822904616952066,1.0,156.0,0.7895±0.0255,0.9641±0.0242,0.7324±0.0288
CBF-bge-m3,20,0.8805812221033367,0.012932755839997295,0.9895239300021084,0.005858321026159242,0.8447733332201321,0.018738948011057868,0.9743589743589745,152.0,0.8806±0.0129,0.9895±0.0059,0.8448±0.0187
CBF-bge-m3,40,0.8709640390853529,0.013728613212550382,0.98326705552512,0.007301639891901951,0.8342591734515696,0.018048851949043966,0.9948717948717949,155.2,0.8710±0.0137,0.9833±0.0073,0.8343±0.0180
CBF-bge-m3,80,0.8550051485780463,0.01336342825139055,0.9717535153019025,0.008623845280686434,0.8166132478632478,0.017002782802497906,0.9987179487179487,155.8,0.8550±0.0134,0.9718±0.0086,0.8166±0.0170
CBF-bge-m3,all eligible,0.8736021273565546,0.014879474671401403,0.9743589743589745,0.018688948380914443,0.8405469067969067,0.01496895628533387,1.0,156.0,0.8736±0.0149,0.9744±0.0187,0.8405±0.0150
CBF-multilingual-e5-large-instruct,20,0.8930526966813614,0.004682603128883976,0.9960952983343875,0.0035646549119380433,0.858680917517713,0.006528277193994041,0.9743589743589745,152.0,0.8931±0.0047,0.9961±0.0036,0.8587±0.0065
CBF-multilingual-e5-large-instruct,40,0.8824232547221298,0.014141767652004604,0.9871131019518117,0.004533269920259843,0.847622007920395,0.018627093631832216,0.9948717948717949,155.2,0.8824±0.0141,0.9871±0.0045,0.8476±0.0186
CBF-multilingual-e5-large-instruct,80,0.8678405370935531,0.009785247522319433,0.9807361455748552,0.004591446201511753,0.8301328790683631,0.011812969192599398,0.9987179487179487,155.8,0.8678±0.0098,0.9807±0.0046,0.8301±0.0118
CBF-multilingual-e5-large-instruct,all eligible,0.8761577263856791,0.01957757232034156,0.9743589743589745,0.020271010642105007,0.8432595645095644,0.02016133273414176,1.0,156.0,0.8762±0.0196,0.9744±0.0203,0.8433±0.0202
CBF-wangchanberta-base-att-spm-uncased,20,0.7801851876971145,0.016073476555835263,0.9790478600042167,0.011716642052318552,0.7159367683102363,0.021086948498665232,0.9743589743589745,152.0,0.7802±0.0161,0.9790±0.0117,0.7159±0.0211
CBF-wangchanberta-base-att-spm-uncased,40,0.7734100529306855,0.02270686768770713,0.9639033010000752,0.007453925169706543,0.7123966897584408,0.028240084750803904,0.9948717948717949,155.2,0.7734±0.0227,0.9639±0.0075,0.7124±0.0282
CBF-wangchanberta-base-att-spm-uncased,80,0.7611863612803914,0.02215280585293722,0.9448056244830438,0.009689986043735227,0.7019081754565626,0.031141023642554035,0.9987179487179487,155.8,0.7612±0.0222,0.9448±0.0097,0.7019±0.0311
CBF-wangchanberta-base-att-spm-uncased,all eligible,0.7706298065123536,0.025734239132877975,0.9538461538461538,0.01659253731480098,0.7111574074074074,0.028512834233380392,1.0,156.0,0.7706±0.0257,0.9538±0.0166,0.7112±0.0285
CF-BiasedMF,20,0.6153019764596482,0.013974133312477209,0.9514521067429642,0.013650462682434687,0.5105452999436848,0.017635404630327464,0.9743589743589745,152.0,0.6153±0.0140,0.9515±0.0137,0.5105±0.0176
CF-BiasedMF,40,0.5381092183947389,0.030228283025449505,0.841427604653411,0.030572495713047213,0.4440359632686823,0.02983587109383044,0.9948717948717949,155.2,0.5381±0.0302,0.8414±0.0306,0.4440±0.0298
CF-BiasedMF,80,0.5094769921200336,0.03937440088662494,0.7829776674937965,0.050470958074640665,0.4248812477844738,0.03611544880655227,0.9987179487179487,155.8,0.5095±0.0394,0.7830±0.0505,0.4249±0.0361
CF-BiasedMF,all eligible,0.5038489386999214,0.03910102678352967,0.7717948717948718,0.04144417916729392,0.4209299959299961,0.039812505145002564,1.0,156.0,0.5038±0.0391,0.7718±0.0414,0.4209±0.0398
