Model,Seed,MAX_CANDS,best_alpha,best_k_rrf,best_b_cbf
Hybrid-WeightedSum,42,20.0,0.8,,0.05
Hybrid-WeightedProduct,42,20.0,0.9,,0.05
Hybrid-RRF,42,20.0,10.0,10.0,0.05
Hybrid-ReliabilityGate,42,20.0,,,0.05
Hybrid-WeightedSum,42,40.0,0.7,,0.05
Hybrid-WeightedProduct,42,40.0,0.8,,0.05
Hybrid-RRF,42,40.0,10.0,10.0,0.05
Hybrid-ReliabilityGate,42,40.0,,,0.05
Hybrid-WeightedSum,42,80.0,0.7,,0.05
Hybrid-WeightedProduct,42,80.0,1.0,,0.05
Hybrid-RRF,42,80.0,10.0,10.0,0.05
Hybrid-ReliabilityGate,42,80.0,,,0.05
Hybrid-WeightedSum,42,,0.7,,0.05
Hybrid-WeightedProduct,42,,1.0,,0.05
Hybrid-RRF,42,,10.0,10.0,0.05
Hybrid-ReliabilityGate,42,,,,0.05
Hybrid-WeightedSum,123,20.0,0.7,,0.05
Hybrid-WeightedProduct,123,20.0,1.0,,0.05
Hybrid-RRF,123,20.0,10.0,10.0,0.05
Hybrid-ReliabilityGate,123,20.0,,,0.05
Hybrid-WeightedSum,123,40.0,0.9,,0.05
Hybrid-WeightedProduct,123,40.0,1.0,,0.05
Hybrid-RRF,123,40.0,10.0,10.0,0.05
Hybrid-ReliabilityGate,123,40.0,,,0.05
Hybrid-WeightedSum,123,80.0,0.9,,0.05
Hybrid-WeightedProduct,123,80.0,1.0,,0.05
Hybrid-RRF,123,80.0,10.0,10.0,0.05
Hybrid-ReliabilityGate,123,80.0,,,0.05
Hybrid-WeightedSum,123,,0.8,,0.05
Hybrid-WeightedProduct,123,,1.0,,0.05
Hybrid-RRF,123,,10.0,10.0,0.05
Hybrid-ReliabilityGate,123,,,,0.05
Hybrid-WeightedSum,999,20.0,0.8,,0.05
Hybrid-WeightedProduct,999,20.0,0.8,,0.05
Hybrid-RRF,999,20.0,10.0,10.0,0.05
Hybrid-ReliabilityGate,999,20.0,,,0.05
Hybrid-WeightedSum,999,40.0,0.8,,0.05
Hybrid-WeightedProduct,999,40.0,1.0,,0.05
Hybrid-RRF,999,40.0,10.0,10.0,0.05
Hybrid-ReliabilityGate,999,40.0,,,0.05
Hybrid-WeightedSum,999,80.0,0.7,,0.05
Hybrid-WeightedProduct,999,80.0,0.9,,0.05
Hybrid-RRF,999,80.0,10.0,10.0,0.05
Hybrid-ReliabilityGate,999,80.0,,,0.05
Hybrid-WeightedSum,999,,0.8,,0.05
Hybrid-WeightedProduct,999,,0.8,,0.05
Hybrid-RRF,999,,10.0,10.0,0.05
Hybrid-ReliabilityGate,999,,,,0.05
Hybrid-WeightedSum,2024,20.0,0.8,,0.05
Hybrid-WeightedProduct,2024,20.0,1.0,,0.05
Hybrid-RRF,2024,20.0,10.0,10.0,0.05
Hybrid-ReliabilityGate,2024,20.0,,,0.05
Hybrid-WeightedSum,2024,40.0,0.9,,0.05
Hybrid-WeightedProduct,2024,40.0,0.8,,0.05
Hybrid-RRF,2024,40.0,10.0,10.0,0.05
Hybrid-ReliabilityGate,2024,40.0,,,0.05
Hybrid-WeightedSum,2024,80.0,0.8,,0.05
Hybrid-WeightedProduct,2024,80.0,1.0,,0.05
Hybrid-RRF,2024,80.0,10.0,10.0,0.05
Hybrid-ReliabilityGate,2024,80.0,,,0.05
Hybrid-WeightedSum,2024,,0.7,,0.05
Hybrid-WeightedProduct,2024,,0.8,,0.05
Hybrid-RRF,2024,,10.0,10.0,0.05
Hybrid-ReliabilityGate,2024,,,,0.05
Hybrid-WeightedSum,555,20.0,0.7,,0.05
Hybrid-WeightedProduct,555,20.0,0.9,,0.05
Hybrid-RRF,555,20.0,10.0,10.0,0.05
Hybrid-ReliabilityGate,555,20.0,,,0.05
Hybrid-WeightedSum,555,40.0,0.7,,0.05
Hybrid-WeightedProduct,555,40.0,0.9,,0.05
Hybrid-RRF,555,40.0,10.0,10.0,0.05
Hybrid-ReliabilityGate,555,40.0,,,0.05
Hybrid-WeightedSum,555,80.0,0.7,,0.05
Hybrid-WeightedProduct,555,80.0,0.9,,0.05
Hybrid-RRF,555,80.0,10.0,10.0,0.05
Hybrid-ReliabilityGate,555,80.0,,,0.05
Hybrid-WeightedSum,555,,0.8,,0.05
Hybrid-WeightedProduct,555,,0.9,,0.05
Hybrid-RRF,555,,10.0,10.0,0.05
Hybrid-ReliabilityGate,555,,,,0.05
